mean_fit_time	mean_score_time	mean_test_accuracy	mean_test_balanced_accuracy	mean_test_primary	param_estimator__alpha	param_estimator__binarize	param_estimator__fit_prior	params	rank_test_accuracy	rank_test_balanced_accuracy	rank_test_primary	split0_test_accuracy	split0_test_balanced_accuracy	split0_test_primary	split1_test_accuracy	split1_test_balanced_accuracy	split1_test_primary	split2_test_accuracy	split2_test_balanced_accuracy	split2_test_primary	split3_test_accuracy	split3_test_balanced_accuracy	split3_test_primary	split4_test_accuracy	split4_test_balanced_accuracy	split4_test_primary	split5_test_accuracy	split5_test_balanced_accuracy	split5_test_primary	split6_test_accuracy	split6_test_balanced_accuracy	split6_test_primary	split7_test_accuracy	split7_test_balanced_accuracy	split7_test_primary	split8_test_accuracy	split8_test_balanced_accuracy	split8_test_primary	split9_test_accuracy	split9_test_balanced_accuracy	split9_test_primary	std_fit_time	std_score_time	std_test_accuracy	std_test_balanced_accuracy	std_test_primary
0.0021753787994384767	0.0025483846664428713	0.465	0.19	0.3487330291395755	0.0	0.0	True	{u'estimator__alpha': 0.0, u'estimator__fit_prior': True, u'estimator__binarize': 0.0}	41	1	41	0.47	0.3	0.3521865274041251	0.465	0.1	0.34794595183611204	0.46	0.3	0.34358614701533574	0.465	0.2	0.34919592223953533	0.48	0.1	0.3626935182139607	0.465	0.1	0.3458903669429986	0.455	0.2	0.34249256700869607	0.46	0.1	0.3445076234815838	0.475	0.3	0.355229841152762	0.455	0.2	0.34360182610064544	0.0002503923360397476	7.095891680230906e-05	0.007745966692414819	0.08306623862918075	0.006062689351026465
0.0019771099090576173	0.0026668310165405273	0.465	0.19	0.3487330291395755	0.0	0.0	False	{u'estimator__alpha': 0.0, u'estimator__fit_prior': False, u'estimator__binarize': 0.0}	41	1	41	0.47	0.3	0.3521865274041251	0.465	0.1	0.34794595183611204	0.46	0.3	0.34358614701533574	0.465	0.2	0.34919592223953533	0.48	0.1	0.3626935182139607	0.465	0.1	0.3458903669429986	0.455	0.2	0.34249256700869607	0.46	0.1	0.3445076234815838	0.475	0.3	0.355229841152762	0.455	0.2	0.34360182610064544	3.814387308879664e-05	0.0006981946591400285	0.007745966692414819	0.08306623862918075	0.006062689351026465
0.00225682258605957	0.002500581741333008	0.5045	0.17	0.4195249688005497	0.0	0.1	True	{u'estimator__alpha': 0.0, u'estimator__fit_prior': True, u'estimator__binarize': 0.1}	1	21	21	0.52	0.2	0.43844030365769493	0.515	0.1	0.43079190924018507	0.5	0.3	0.41381748320937123	0.52	0.2	0.4404655905459428	0.505	0.0	0.4201758742440373	0.525	0.2	0.43404031236495494	0.49	0.2	0.40619816264475644	0.51	0.1	0.42696098451641734	0.48	0.2	0.38403211383413066	0.48	0.2	0.40032695374800636	0.000545166911575766	6.084410374358203e-05	0.015724185193516402	0.07810249675906654	0.017401558478596403
0.004019713401794434	0.003527975082397461	0.5045	0.17	0.4195249688005497	0.0	0.1	False	{u'estimator__alpha': 0.0, u'estimator__fit_prior': False, u'estimator__binarize': 0.1}	1	21	21	0.52	0.2	0.43844030365769493	0.515	0.1	0.43079190924018507	0.5	0.3	0.41381748320937123	0.52	0.2	0.4404655905459428	0.505	0.0	0.4201758742440373	0.525	0.2	0.43404031236495494	0.49	0.2	0.40619816264475644	0.51	0.1	0.42696098451641734	0.48	0.2	0.38403211383413066	0.48	0.2	0.40032695374800636	0.0024790408206796393	0.00196588892663343	0.015724185193516402	0.07810249675906654	0.017401558478596403
0.002069687843322754	0.0025009870529174804	0.492	0.15	0.45136522400159595	0.0	0.25	True	{u'estimator__alpha': 0.0, u'estimator__fit_prior': True, u'estimator__binarize': 0.25}	21	41	1	0.515	0.2	0.4812596143542317	0.505	0.1	0.47351312026681214	0.5	0.1	0.45671212325019955	0.475	0.1	0.439833493603043	0.48	0.1	0.4195696881903778	0.495	0.2	0.46566093372786305	0.465	0.1	0.44903023109672724	0.48	0.2	0.41180309833975953	0.48	0.2	0.42166759078893284	0.525	0.2	0.49460234639801204	4.987468790820077e-05	4.791293482942757e-05	0.01819340539866026	0.05	0.026614112018806053
0.002016758918762207	0.002646064758300781	0.492	0.15	0.45136522400159595	0.0	0.25	False	{u'estimator__alpha': 0.0, u'estimator__fit_prior': False, u'estimator__binarize': 0.25}	21	41	1	0.515	0.2	0.4812596143542317	0.505	0.1	0.47351312026681214	0.5	0.1	0.45671212325019955	0.475	0.1	0.439833493603043	0.48	0.1	0.4195696881903778	0.495	0.2	0.46566093372786305	0.465	0.1	0.44903023109672724	0.48	0.2	0.41180309833975953	0.48	0.2	0.42166759078893284	0.525	0.2	0.49460234639801204	4.1435537153264264e-05	0.00044652205239552475	0.01819340539866026	0.05	0.026614112018806053
0.0020340919494628907	0.002498769760131836	0.343	0.12	0.2642176519597166	0.0	0.5	True	{u'estimator__alpha': 0.0, u'estimator__fit_prior': True, u'estimator__binarize': 0.5}	61	103	63	0.335	0.2	0.256975765405998	0.35	0.1	0.2714674057143352	0.355	0.0	0.28387011345026614	0.32	0.1	0.22568589743589745	0.32	0.1	0.24912543870015275	0.36	0.1	0.27666344070169097	0.325	0.0	0.26198260927875755	0.36	0.2	0.2725422573626382	0.355	0.2	0.2729351447958318	0.35	0.2	0.2709284467515981	5.0250153124184836e-05	0.0001142358532103943	0.015524174696260011	0.07483314773547883	0.015980975180349483
0.0019867658615112306	0.0024938106536865233	0.343	0.12	0.2642176519597166	0.0	0.5	False	{u'estimator__alpha': 0.0, u'estimator__fit_prior': False, u'estimator__binarize': 0.5}	61	103	63	0.335	0.2	0.256975765405998	0.35	0.1	0.2714674057143352	0.355	0.0	0.28387011345026614	0.32	0.1	0.22568589743589745	0.32	0.1	0.24912543870015275	0.36	0.1	0.27666344070169097	0.325	0.0	0.26198260927875755	0.36	0.2	0.2725422573626382	0.355	0.2	0.2729351447958318	0.35	0.2	0.2709284467515981	4.70774313504413e-05	5.274116445639863e-05	0.015524174696260011	0.07483314773547883	0.015980975180349483
0.0020044326782226564	0.002454710006713867	0.2435	0.14	0.1739532323859571	0.0	0.75	True	{u'estimator__alpha': 0.0, u'estimator__fit_prior': True, u'estimator__binarize': 0.75}	85	61	87	0.245	0.2	0.17187017823889333	0.225	0.1	0.15718990843817932	0.25	0.1	0.1926398571559862	0.25	0.1	0.17730865625602468	0.225	0.1	0.1659973534319084	0.225	0.1	0.16010342352043794	0.255	0.1	0.18430607567479076	0.26	0.2	0.17237140470223178	0.24	0.2	0.16933966933966932	0.26	0.2	0.18840579710144928	4.364112560278882e-05	5.661723944755634e-05	0.013425721582097552	0.048989794855663564	0.011138919644049963
0.001986074447631836	0.002506709098815918	0.2435	0.14	0.1739532323859571	0.0	0.75	False	{u'estimator__alpha': 0.0, u'estimator__fit_prior': False, u'estimator__binarize': 0.75}	85	61	87	0.245	0.2	0.17187017823889333	0.225	0.1	0.15718990843817932	0.25	0.1	0.1926398571559862	0.25	0.1	0.17730865625602468	0.225	0.1	0.1659973534319084	0.225	0.1	0.16010342352043794	0.255	0.1	0.18430607567479076	0.26	0.2	0.17237140470223178	0.24	0.2	0.16933966933966932	0.26	0.2	0.18840579710144928	3.9063383582299484e-05	5.437882500078308e-05	0.013425721582097552	0.048989794855663564	0.011138919644049963
0.0019682168960571287	0.002423000335693359	0.203	0.13	0.13091191706037295	0.0	0.9	True	{u'estimator__alpha': 0.0, u'estimator__fit_prior': True, u'estimator__binarize': 0.9}	101	83	105	0.2	0.1	0.12871572871572873	0.19	0.1	0.11453882230328297	0.2	0.1	0.12695970695970696	0.2	0.1	0.12695970695970696	0.2	0.1	0.12695970695970696	0.195	0.1	0.12327219564061669	0.22	0.1	0.16070120355834644	0.22	0.2	0.1513877874702617	0.205	0.2	0.12962431203637234	0.2	0.2	0.12	5.469106542730429e-05	6.67428784671209e-05	0.0092736184954957	0.045825756949558406	0.013436954388223147
0.002221965789794922	0.0024434328079223633	0.203	0.13	0.13091191706037295	0.0	0.9	False	{u'estimator__alpha': 0.0, u'estimator__fit_prior': False, u'estimator__binarize': 0.9}	101	83	105	0.2	0.1	0.12871572871572873	0.19	0.1	0.11453882230328297	0.2	0.1	0.12695970695970696	0.2	0.1	0.12695970695970696	0.2	0.1	0.12695970695970696	0.195	0.1	0.12327219564061669	0.22	0.1	0.16070120355834644	0.22	0.2	0.1513877874702617	0.205	0.2	0.12962431203637234	0.2	0.2	0.12	0.0008746500344008908	9.172345736751989e-05	0.0092736184954957	0.045825756949558406	0.013436954388223147
0.0019635438919067385	0.0024327754974365233	0.1005	0.1	0.01914250133428215	0.0	1.0	True	{u'estimator__alpha': 0.0, u'estimator__fit_prior': True, u'estimator__binarize': 1.0}	121	121	121	0.1	0.1	0.01818181818181818	0.1	0.1	0.01818181818181818	0.1	0.1	0.01818181818181818	0.1	0.1	0.01818181818181818	0.1	0.1	0.01818181818181818	0.1	0.1	0.01818181818181818	0.1	0.1	0.01818181818181818	0.105	0.1	0.027788649706457925	0.1	0.1	0.01818181818181818	0.1	0.1	0.01818181818181818	6.269701946889652e-05	5.314892933242922e-05	0.001499999999999997	0.0	0.002882049457391923
0.0019527673721313477	0.0024358034133911133	0.1005	0.1	0.01914250133428215	0.0	1.0	False	{u'estimator__alpha': 0.0, u'estimator__fit_prior': False, u'estimator__binarize': 1.0}	121	121	121	0.1	0.1	0.01818181818181818	0.1	0.1	0.01818181818181818	0.1	0.1	0.01818181818181818	0.1	0.1	0.01818181818181818	0.1	0.1	0.01818181818181818	0.1	0.1	0.01818181818181818	0.1	0.1	0.01818181818181818	0.105	0.1	0.027788649706457925	0.1	0.1	0.01818181818181818	0.1	0.1	0.01818181818181818	5.1176341129936045e-05	5.820502668618933e-05	0.001499999999999997	0.0	0.002882049457391923
0.0020073890686035157	0.00244600772857666	0.465	0.19	0.3487330291395755	0.1	0.0	True	{u'estimator__alpha': 0.1, u'estimator__fit_prior': True, u'estimator__binarize': 0.0}	41	1	41	0.47	0.3	0.3521865274041251	0.465	0.1	0.34794595183611204	0.46	0.3	0.34358614701533574	0.465	0.2	0.34919592223953533	0.48	0.1	0.3626935182139607	0.465	0.1	0.3458903669429986	0.455	0.2	0.34249256700869607	0.46	0.1	0.3445076234815838	0.475	0.3	0.355229841152762	0.455	0.2	0.34360182610064544	4.719389630988819e-05	1.5270351707966497e-05	0.007745966692414819	0.08306623862918075	0.006062689351026465
0.0020457983016967775	0.0025558948516845705	0.465	0.19	0.3487330291395755	0.1	0.0	False	{u'estimator__alpha': 0.1, u'estimator__fit_prior': False, u'estimator__binarize': 0.0}	41	1	41	0.47	0.3	0.3521865274041251	0.465	0.1	0.34794595183611204	0.46	0.3	0.34358614701533574	0.465	0.2	0.34919592223953533	0.48	0.1	0.3626935182139607	0.465	0.1	0.3458903669429986	0.455	0.2	0.34249256700869607	0.46	0.1	0.3445076234815838	0.475	0.3	0.355229841152762	0.455	0.2	0.34360182610064544	6.554777176249672e-05	0.00015092030896733994	0.007745966692414819	0.08306623862918075	0.006062689351026465
0.005525851249694824	0.0026916742324829103	0.5045	0.17	0.4195249688005497	0.1	0.1	True	{u'estimator__alpha': 0.1, u'estimator__fit_prior': True, u'estimator__binarize': 0.1}	1	21	21	0.52	0.2	0.43844030365769493	0.515	0.1	0.43079190924018507	0.5	0.3	0.41381748320937123	0.52	0.2	0.4404655905459428	0.505	0.0	0.4201758742440373	0.525	0.2	0.43404031236495494	0.49	0.2	0.40619816264475644	0.51	0.1	0.42696098451641734	0.48	0.2	0.38403211383413066	0.48	0.2	0.40032695374800636	0.009921293436748186	0.0005841727923707158	0.015724185193516402	0.07810249675906654	0.017401558478596403
0.001996421813964844	0.004470372200012207	0.5045	0.17	0.4195249688005497	0.1	0.1	False	{u'estimator__alpha': 0.1, u'estimator__fit_prior': False, u'estimator__binarize': 0.1}	1	21	21	0.52	0.2	0.43844030365769493	0.515	0.1	0.43079190924018507	0.5	0.3	0.41381748320937123	0.52	0.2	0.4404655905459428	0.505	0.0	0.4201758742440373	0.525	0.2	0.43404031236495494	0.49	0.2	0.40619816264475644	0.51	0.1	0.42696098451641734	0.48	0.2	0.38403211383413066	0.48	0.2	0.40032695374800636	4.917150694234643e-05	0.0035673827878390726	0.015724185193516402	0.07810249675906654	0.017401558478596403
0.002101898193359375	0.0025696039199829103	0.492	0.15	0.4512417543781263	0.1	0.25	True	{u'estimator__alpha': 0.1, u'estimator__fit_prior': True, u'estimator__binarize': 0.25}	21	41	3	0.515	0.2	0.4812596143542317	0.505	0.1	0.47351312026681214	0.5	0.1	0.45671212325019955	0.475	0.1	0.439833493603043	0.48	0.1	0.4195696881903778	0.495	0.2	0.46566093372786305	0.465	0.1	0.447795534862031	0.48	0.2	0.41180309833975953	0.48	0.2	0.42166759078893284	0.525	0.2	0.49460234639801204	0.0002107836530988038	0.0003454420957930105	0.01819340539866026	0.05	0.02662751889813189
0.0020245790481567385	0.0027655363082885742	0.492	0.15	0.4512417543781263	0.1	0.25	False	{u'estimator__alpha': 0.1, u'estimator__fit_prior': False, u'estimator__binarize': 0.25}	21	41	3	0.515	0.2	0.4812596143542317	0.505	0.1	0.47351312026681214	0.5	0.1	0.45671212325019955	0.475	0.1	0.439833493603043	0.48	0.1	0.4195696881903778	0.495	0.2	0.46566093372786305	0.465	0.1	0.447795534862031	0.48	0.2	0.41180309833975953	0.48	0.2	0.42166759078893284	0.525	0.2	0.49460234639801204	4.6907187690316424e-05	0.0005986248253156871	0.01819340539866026	0.05	0.02662751889813189
