mean_fit_time	mean_score_time	mean_test_accuracy	mean_test_balanced_accuracy	mean_test_primary	param_estimator__alpha	param_estimator__binarize	param_estimator__fit_prior	params	rank_test_accuracy	rank_test_balanced_accuracy	rank_test_primary	split0_test_accuracy	split0_test_balanced_accuracy	split0_test_primary	split1_test_accuracy	split1_test_balanced_accuracy	split1_test_primary	split2_test_accuracy	split2_test_balanced_accuracy	split2_test_primary	split3_test_accuracy	split3_test_balanced_accuracy	split3_test_primary	split4_test_accuracy	split4_test_balanced_accuracy	split4_test_primary	split5_test_accuracy	split5_test_balanced_accuracy	split5_test_primary	split6_test_accuracy	split6_test_balanced_accuracy	split6_test_primary	split7_test_accuracy	split7_test_balanced_accuracy	split7_test_primary	split8_test_accuracy	split8_test_balanced_accuracy	split8_test_primary	split9_test_accuracy	split9_test_balanced_accuracy	split9_test_primary	std_fit_time	std_score_time	std_test_accuracy	std_test_balanced_accuracy	std_test_primary
0.0021094083786010742	0.0028510808944702147	0.39348370927318294	0.0	0.34604234135284884	0.0	0.0	True	{u'estimator__alpha': 0.0, u'estimator__fit_prior': True, u'estimator__binarize': 0.0}	49	47	56	0.3488372093023256	0.0	0.3560593058057561	0.38095238095238093	0.0	0.3175593285433102	0.38095238095238093	0.0	0.3172549019607843	0.36585365853658536	0.0	0.3026687528435256	0.4	0.0	0.3432019704433497	0.4358974358974359	0.0	0.35565767565767564	0.5	0.0	0.45239294039294037	0.4473684210526316	0.0	0.39761904761904765	0.3157894736842105	0.0	0.2615384615384615	0.3684210526315789	0.0	0.36450216450216455	0.0006251264422800106	0.00121054028230042	0.04998207301114071	0.0	0.049291763964786045
0.0023240566253662108	0.0032450675964355467	0.3634085213032581	0.0	0.3435417586811512	0.0	0.0	False	{u'estimator__alpha': 0.0, u'estimator__fit_prior': False, u'estimator__binarize': 0.0}	82	47	58	0.3023255813953488	0.0	0.3159051474840949	0.35714285714285715	0.0	0.3223209538999013	0.35714285714285715	0.0	0.3310751993104934	0.36585365853658536	0.0	0.378136645962733	0.4	0.0	0.3432019704433497	0.46153846153846156	0.0	0.4257875457875458	0.3684210526315789	0.0	0.3541687552213868	0.39473684210526316	0.0	0.3651948051948052	0.2894736842105263	0.0	0.28285486443381175	0.34210526315789475	0.0	0.31907647907647907	0.0011304700375552362	0.001649066188607358	0.046326350918586605	0.0	0.03732841081018995
0.0018869161605834961	0.0022203683853149413	0.37844611528822053	0.0	0.3332037113337534	0.0	0.1	True	{u'estimator__alpha': 0.0, u'estimator__fit_prior': True, u'estimator__binarize': 0.1}	66	47	69	0.32558139534883723	0.0	0.3090726817042606	0.38095238095238093	0.0	0.35084863985119735	0.30952380952380953	0.0	0.2835294117647059	0.4634146341463415	0.0	0.3895962732919255	0.45	0.0	0.39418803418803416	0.3333333333333333	0.0	0.29965811965811967	0.42105263157894735	0.0	0.3663736263736264	0.3684210526315789	0.0	0.295990965556183	0.39473684210526316	0.0	0.34315310293571166	0.34210526315789475	0.0	0.2993939393939394	0.000445380749878817	3.132596036946625e-05	0.05088669959962137	0.0	0.038985191590316784
0.0017133235931396484	0.002200818061828613	0.3684210526315789	0.02055137844611529	0.34858199231181225	0.0	0.1	False	{u'estimator__alpha': 0.0, u'estimator__fit_prior': False, u'estimator__binarize': 0.1}	77	38	53	0.3023255813953488	0.0	0.28386243386243387	0.38095238095238093	0.0	0.36321678321678325	0.30952380952380953	0.0	0.27999999999999997	0.4634146341463415	0.2	0.44846391998094787	0.45	0.0	0.39418803418803416	0.3076923076923077	0.0	0.2845470085470086	0.3157894736842105	0.0	0.3084688995215311	0.39473684210526316	0.0	0.37898989898989904	0.39473684210526316	0.0	0.39243589743589746	0.3684210526315789	0.0	0.3572408293460925	4.216623834451785e-05	1.7938665225671938e-05	0.056596112622859865	0.060728218590599264	0.055091862240594994
0.001727914810180664	0.002217602729797363	0.40100250626566414	0.0	0.36306297897896433	0.0	0.25	True	{u'estimator__alpha': 0.0, u'estimator__fit_prior': True, u'estimator__binarize': 0.25}	42	47	43	0.27906976744186046	0.0	0.2757816257816258	0.42857142857142855	0.0	0.3886234817813765	0.4523809523809524	0.0	0.4231111111111111	0.3902439024390244	0.0	0.3518580765639589	0.4	0.0	0.326031746031746	0.38461538461538464	0.0	0.3394358974358974	0.4473684210526316	0.0	0.3918978605935128	0.5263157894736842	0.0	0.4635994397759104	0.3684210526315789	0.0	0.3335115864527629	0.34210526315789475	0.0	0.3427072927072927	2.6904393126593353e-05	1.7142627431662682e-05	0.0642663499347076	0.0	0.05136832452209215
0.0017734050750732421	0.0022326946258544923	0.38847117794486213	0.01904761904761905	0.36101828405226893	0.0	0.25	False	{u'estimator__alpha': 0.0, u'estimator__fit_prior': False, u'estimator__binarize': 0.25}	57	41	48	0.3023255813953488	0.0	0.30349206349206354	0.4523809523809524	0.0	0.42908801724591206	0.4523809523809524	0.0	0.4354589371980676	0.3902439024390244	0.0	0.35139631610219846	0.4	0.0	0.32271284271284273	0.3076923076923077	0.0	0.2796117778214965	0.42105263157894735	0.0	0.36727272727272725	0.42105263157894735	0.0	0.40166149639833854	0.34210526315789475	0.0	0.33619047619047615	0.39473684210526316	0.2	0.38078431372549015	4.8377685375961525e-05	3.1900584073559784e-05	0.05217071364795112	0.058708704790180734	0.049889956432881806
0.0017529010772705078	0.002274489402770996	0.49122807017543857	0.0	0.49095047550966087	0.0	0.5	True	{u'estimator__alpha': 0.0, u'estimator__fit_prior': True, u'estimator__binarize': 0.5}	7	47	8	0.4186046511627907	0.0	0.4115079365079365	0.4523809523809524	0.0	0.46454235135349686	0.47619047619047616	0.0	0.48706938505027075	0.5853658536585366	0.0	0.5765831691528286	0.6	0.0	0.5976190476190476	0.46153846153846156	0.0	0.44541889483065955	0.5526315789473685	0.0	0.5367824204780727	0.5	0.0	0.496996336996337	0.4473684210526316	0.0	0.46567155067155064	0.42105263157894735	0.0	0.42977855477855476	2.4431518557732314e-05	0.0001028247368037141	0.06286937570357808	0.0	0.05892991342675103
0.0023015737533569336	0.0022440671920776365	0.49874686716791977	0.0	0.4998952798427576	0.0	0.5	False	{u'estimator__alpha': 0.0, u'estimator__fit_prior': False, u'estimator__binarize': 0.5}	1	47	1	0.4418604651162791	0.0	0.43968761417610525	0.4523809523809524	0.0	0.46894158473105846	0.5	0.0	0.5133083634631622	0.6097560975609756	0.0	0.6040341495449855	0.6	0.0	0.5997435897435898	0.46153846153846156	0.0	0.44761904761904764	0.5526315789473685	0.0	0.5360248447204969	0.5263157894736842	0.0	0.5161904761904762	0.47368421052631576	0.0	0.49551282051282053	0.3684210526315789	0.0	0.3755577755577756	0.0016678227131435935	2.0881724893203794e-05	0.07092911118231673	0.0	0.06719543211710854
0.001806783676147461	0.0022839069366455077	0.46365914786967416	0.04160401002506266	0.4660449462184838	0.0	0.75	True	{u'estimator__alpha': 0.0, u'estimator__fit_prior': True, u'estimator__binarize': 0.75}	17	25	14	0.3953488372093023	0.0	0.3994183989385228	0.40476190476190477	0.2	0.39514660777818666	0.5238095238095238	0.0	0.5283333333333334	0.6097560975609756	0.2	0.607563025210084	0.525	0.0	0.5238612368024131	0.358974358974359	0.0	0.367719298245614	0.5263157894736842	0.0	0.5178821178821178	0.5263157894736842	0.0	0.5245098039215688	0.4473684210526316	0.0	0.47615857826384145	0.3157894736842105	0.0	0.3179020979020979	7.023948919291634e-05	8.113606688381238e-05	0.08801147206989947	0.08117825050373417	0.08622806298733932
0.0017637968063354491	0.002232789993286133	0.43859649122807015	0.04160401002506266	0.44013986144714434	0.0	0.75	False	{u'estimator__alpha': 0.0, u'estimator__fit_prior': False, u'estimator__binarize': 0.75}	29	25	29	0.32558139534883723	0.0	0.32380952380952377	0.40476190476190477	0.2	0.39514660777818666	0.5238095238095238	0.0	0.5295906432748538	0.5121951219512195	0.2	0.5095325726904675	0.5	0.0	0.4950700280112044	0.358974358974359	0.0	0.367719298245614	0.5	0.0	0.48765401265401265	0.47368421052631576	0.0	0.4692185007974482	0.47368421052631576	0.0	0.5063714063714064	0.3157894736842105	0.0	0.3214492753623188	4.8373296579793194e-05	2.7323434898161692e-05	0.0764559486992244	0.08117825050373417	0.07667258004744743
