mean_fit_time	mean_score_time	mean_test_accuracy	mean_test_balanced_accuracy	mean_test_primary	param_estimator__alpha	param_estimator__binarize	param_estimator__fit_prior	params	rank_test_accuracy	rank_test_balanced_accuracy	rank_test_primary	split0_test_accuracy	split0_test_balanced_accuracy	split0_test_primary	split1_test_accuracy	split1_test_balanced_accuracy	split1_test_primary	split2_test_accuracy	split2_test_balanced_accuracy	split2_test_primary	split3_test_accuracy	split3_test_balanced_accuracy	split3_test_primary	split4_test_accuracy	split4_test_balanced_accuracy	split4_test_primary	split5_test_accuracy	split5_test_balanced_accuracy	split5_test_primary	split6_test_accuracy	split6_test_balanced_accuracy	split6_test_primary	split7_test_accuracy	split7_test_balanced_accuracy	split7_test_primary	split8_test_accuracy	split8_test_balanced_accuracy	split8_test_primary	split9_test_accuracy	split9_test_balanced_accuracy	split9_test_primary	std_fit_time	std_score_time	std_test_accuracy	std_test_balanced_accuracy	std_test_primary
0.002066898345947266	0.0024342775344848634	0.717	0.0	0.5914596494464074	0.0	0.0	True	{u'estimator__alpha': 0.0, u'estimator__fit_prior': True, u'estimator__binarize': 0.0}	30	35	65	0.73	0.0	0.5858260469397147	0.74	0.0	0.6212121212121212	0.65	0.0	0.5132804895007648	0.76	0.0	0.6383363471971066	0.68	0.0	0.5	0.71	0.0	0.5967181198720622	0.79	0.0	0.6989247311827957	0.7	0.0	0.6	0.69	0.0	0.5555555555555555	0.72	0.0	0.6047430830039526	0.00017634308464972015	8.843429765046825e-05	0.038483762809787714	0.0	0.055413091258884585
0.0019838571548461913	0.002596449851989746	0.68	0.0	0.6389583924693231	0.0	0.0	False	{u'estimator__alpha': 0.0, u'estimator__fit_prior': False, u'estimator__binarize': 0.0}	116	35	45	0.71	0.0	0.6442154336891179	0.71	0.0	0.6791680495630048	0.59	0.0	0.539894512400404	0.7	0.0	0.6428571428571428	0.67	0.0	0.6176572818908586	0.67	0.0	0.6396986570586309	0.76	0.0	0.7286295793758482	0.64	0.0	0.6043956043956044	0.71	0.0	0.6791680495630048	0.64	0.0	0.6138996138996138	3.7672919460227764e-05	0.0006620830887508781	0.04582575694955839	0.0	0.04838166789814392
0.0022875308990478516	0.0024688005447387694	0.724	0.0	0.6163965869172318	0.0	0.1	True	{u'estimator__alpha': 0.0, u'estimator__fit_prior': True, u'estimator__binarize': 0.1}	22	35	59	0.71	0.0	0.5704340097763295	0.73	0.0	0.6245306633291614	0.66	0.0	0.5339912280701754	0.75	0.0	0.6523432067862607	0.7	0.0	0.5629370629370629	0.71	0.0	0.6183708382681932	0.79	0.0	0.707968293700459	0.71	0.0	0.6183708382681932	0.73	0.0	0.6129032258064517	0.75	0.0	0.662116502230031	0.0006408034763585459	0.00012592408312575527	0.033226495451672305	0.0	0.048595403172997834
0.002021527290344238	0.002625179290771484	0.684	0.0	0.6507168618783093	0.0	0.1	False	{u'estimator__alpha': 0.0, u'estimator__fit_prior': False, u'estimator__binarize': 0.1}	112	35	37	0.71	0.0	0.6640018537828757	0.74	0.0	0.7060153776571687	0.58	0.0	0.5384615384615384	0.71	0.0	0.6695156695156694	0.69	0.0	0.6521153630344518	0.63	0.0	0.6093337556752191	0.72	0.0	0.6923076923076923	0.71	0.0	0.6745595331612613	0.71	0.0	0.6791680495630048	0.64	0.0	0.6216897856242118	3.761992095489807e-05	0.0006638798775248767	0.047791212581394085	0.0	0.04674815325976308
0.002096700668334961	0.0026431560516357424	0.736	0.0	0.6407271343650827	0.0	0.25	True	{u'estimator__alpha': 0.0, u'estimator__fit_prior': True, u'estimator__binarize': 0.25}	9	35	39	0.73	0.0	0.6129032258064517	0.74	0.0	0.6329757199322417	0.67	0.0	0.541093032957864	0.77	0.0	0.7047875754075215	0.71	0.0	0.5842293906810037	0.77	0.0	0.7115987460815048	0.78	0.0	0.7141372141372142	0.68	0.0	0.5614035087719298	0.79	0.0	0.707968293700459	0.72	0.0	0.6361746361746361	7.055101858991698e-05	0.0006576444391193889	0.039547439866570375	0.0	0.06269218859600652
0.002509737014770508	0.002726125717163086	0.697	0.0	0.6636453496975259	0.0	0.25	False	{u'estimator__alpha': 0.0, u'estimator__fit_prior': False, u'estimator__binarize': 0.25}	79	35	19	0.7	0.0	0.6493688639551193	0.75	0.0	0.7103464256748928	0.62	0.0	0.5824175824175825	0.73	0.0	0.7052079921388797	0.7	0.0	0.6553308823529411	0.68	0.0	0.6666666666666667	0.7	0.0	0.6657754010695187	0.69	0.0	0.6693333333333333	0.73	0.0	0.6923076923076923	0.67	0.0	0.6396986570586309	0.001292032011308127	0.0008062543160823528	0.0346554469023269	0.0	0.03495759565384096
0.0020934343338012695	0.0024541616439819336	0.745	0.0	0.6632156294036268	0.0	0.5	True	{u'estimator__alpha': 0.0, u'estimator__fit_prior': True, u'estimator__binarize': 0.5}	3	35	20	0.77	0.0	0.6702508960573477	0.73	0.0	0.6446900908014213	0.71	0.0	0.6514004087029692	0.75	0.0	0.6865203761755486	0.73	0.0	0.6614420062695924	0.77	0.0	0.6973285958678774	0.74	0.0	0.6533333333333333	0.72	0.0	0.6266666666666667	0.81	0.0	0.735780837157558	0.72	0.0	0.6047430830039526	8.380189217064723e-05	5.713538461622985e-05	0.029068883707497294	0.0	0.03515746855408388
0.002030777931213379	0.002387690544128418	0.696	0.0	0.6756215462185396	0.0	0.5	False	{u'estimator__alpha': 0.0, u'estimator__fit_prior': False, u'estimator__binarize': 0.5}	84	35	3	0.67	0.0	0.6349153667441089	0.73	0.0	0.7149192271143491	0.69	0.0	0.6756982948007115	0.71	0.0	0.6906666666666668	0.73	0.0	0.7087692805522596	0.71	0.0	0.6938021328265229	0.71	0.0	0.6938021328265229	0.69	0.0	0.6726850385386971	0.69	0.0	0.6656239887822241	0.63	0.0	0.6053333333333333	3.3937953072621e-05	1.8165884296910057e-05	0.02835489375751564	0.0	0.03199454510343738
0.0020023584365844727	0.0023871660232543945	0.7	0.0	0.49833996552258153	0.0	0.75	True	{u'estimator__alpha': 0.0, u'estimator__fit_prior': True, u'estimator__binarize': 0.75}	65	35	102	0.69	0.0	0.46320346320346323	0.72	0.0	0.5038979447200567	0.66	0.0	0.46875	0.7	0.0	0.53125	0.73	0.0	0.5523130492455646	0.71	0.0	0.49783549783549785	0.68	0.0	0.4330262225372077	0.67	0.0	0.4937873907040957	0.75	0.0	0.6018474279343844	0.69	0.0	0.43748865904554524	3.258655215308802e-05	2.8162119229285298e-05	0.026457513110645894	0.0	0.04984048238757248
0.002020907402038574	0.002412891387939453	0.571	0.0	0.5514566336214444	0.0	0.75	False	{u'estimator__alpha': 0.0, u'estimator__fit_prior': False, u'estimator__binarize': 0.75}	139	35	90	0.57	0.0	0.5501621508525996	0.69	0.0	0.6656239887822241	0.56	0.0	0.5452666391070691	0.57	0.0	0.5538956323270049	0.54	0.0	0.5118845500848896	0.51	0.0	0.49541756770672435	0.54	0.0	0.5166036149642707	0.48	0.0	0.46960424316605465	0.62	0.0	0.5967741935483871	0.63	0.0	0.6093337556752191	2.8337540083730827e-05	3.1928547533304506e-05	0.058386642307979984	0.0	0.05577135586354076
