mean_fit_time	mean_score_time	mean_test_accuracy	mean_test_balanced_accuracy	mean_test_primary	param_estimator__C	param_estimator__fit_intercept	param_estimator__loss	param_estimator__random_state	params	rank_test_accuracy	rank_test_balanced_accuracy	rank_test_primary	split0_test_accuracy	split0_test_balanced_accuracy	split0_test_primary	split1_test_accuracy	split1_test_balanced_accuracy	split1_test_primary	split2_test_accuracy	split2_test_balanced_accuracy	split2_test_primary	split3_test_accuracy	split3_test_balanced_accuracy	split3_test_primary	split4_test_accuracy	split4_test_balanced_accuracy	split4_test_primary	split5_test_accuracy	split5_test_balanced_accuracy	split5_test_primary	split6_test_accuracy	split6_test_balanced_accuracy	split6_test_primary	split7_test_accuracy	split7_test_balanced_accuracy	split7_test_primary	split8_test_accuracy	split8_test_balanced_accuracy	split8_test_primary	split9_test_accuracy	split9_test_balanced_accuracy	split9_test_primary	std_fit_time	std_score_time	std_test_accuracy	std_test_balanced_accuracy	std_test_primary
0.006578874588012695	0.003844332695007324	0.7302325581395349	0.5984496124031007	0.7392245426744921	1e-06	True	hinge	324089	{u'estimator__C': 1e-06, u'estimator__random_state': 324089, u'estimator__loss': 'hinge', u'estimator__fit_intercept': True}	20	22	20	0.7272727272727273	0.6666666666666666	0.75	0.5454545454545454	0.3333333333333333	0.6103896103896104	0.6818181818181818	0.6666666666666666	0.680368906455863	0.8636363636363636	0.6666666666666666	0.8425925925925926	0.6818181818181818	0.3333333333333333	0.6696296296296297	0.8095238095238095	0.6666666666666666	0.7899877899877898	0.9047619047619048	0.6666666666666666	0.8928571428571428	0.6190476190476191	0.6666666666666666	0.6287878787878788	0.8095238095238095	0.6666666666666666	0.8153846153846153	0.6666666666666666	0.6666666666666666	0.7190635451505017	0.005573380883602706	0.003392277701558046	0.10770720458694175	0.1344821608818694	0.08948937652014304
0.00642704963684082	0.0035703420639038087	0.7302325581395349	0.5984496124031007	0.7392245426744921	1e-06	True	squared_hinge	324089	{u'estimator__C': 1e-06, u'estimator__random_state': 324089, u'estimator__loss': 'squared_hinge', u'estimator__fit_intercept': True}	20	22	20	0.7272727272727273	0.6666666666666666	0.75	0.5454545454545454	0.3333333333333333	0.6103896103896104	0.6818181818181818	0.6666666666666666	0.680368906455863	0.8636363636363636	0.6666666666666666	0.8425925925925926	0.6818181818181818	0.3333333333333333	0.6696296296296297	0.8095238095238095	0.6666666666666666	0.7899877899877898	0.9047619047619048	0.6666666666666666	0.8928571428571428	0.6190476190476191	0.6666666666666666	0.6287878787878788	0.8095238095238095	0.6666666666666666	0.8153846153846153	0.6666666666666666	0.6666666666666666	0.7190635451505017	0.006189082299679228	0.0016393761340833658	0.10770720458694175	0.1344821608818694	0.08948937652014304
0.0037508726119995115	0.0037842035293579102	0.4744186046511628	0.6666666666666666	0.49542748936729786	1e-06	False	hinge	324089	{u'estimator__C': 1e-06, u'estimator__random_state': 324089, u'estimator__loss': 'hinge', u'estimator__fit_intercept': False}	42	1	43	0.45454545454545453	0.6666666666666666	0.5027777777777778	0.4090909090909091	0.6666666666666666	0.4339869281045751	0.45454545454545453	0.6666666666666666	0.47008547008547	0.5454545454545454	0.6666666666666666	0.5571428571428573	0.6363636363636364	0.6666666666666666	0.6454545454545455	0.42857142857142855	0.6666666666666666	0.4467754467754468	0.42857142857142855	0.6666666666666666	0.4467754467754468	0.5714285714285714	0.6666666666666666	0.5793650793650794	0.38095238095238093	0.6666666666666666	0.3989441930618401	0.42857142857142855	0.6666666666666666	0.4666666666666666	0.0018266896938143112	0.0024572602369976656	0.0781401700894155	0.0	0.0727393960078737
0.003930020332336426	0.0038948774337768553	0.4744186046511628	0.6666666666666666	0.49542748936729786	1e-06	False	squared_hinge	324089	{u'estimator__C': 1e-06, u'estimator__random_state': 324089, u'estimator__loss': 'squared_hinge', u'estimator__fit_intercept': False}	42	1	43	0.45454545454545453	0.6666666666666666	0.5027777777777778	0.4090909090909091	0.6666666666666666	0.4339869281045751	0.45454545454545453	0.6666666666666666	0.47008547008547	0.5454545454545454	0.6666666666666666	0.5571428571428573	0.6363636363636364	0.6666666666666666	0.6454545454545455	0.42857142857142855	0.6666666666666666	0.4467754467754468	0.42857142857142855	0.6666666666666666	0.4467754467754468	0.5714285714285714	0.6666666666666666	0.5793650793650794	0.38095238095238093	0.6666666666666666	0.3989441930618401	0.42857142857142855	0.6666666666666666	0.4666666666666666	0.0032068520101706526	0.0021039768404156247	0.0781401700894155	0.0	0.0727393960078737
0.0032114267349243166	0.0027965545654296876	0.7302325581395349	0.5984496124031007	0.7392245426744921	1e-05	True	hinge	324089	{u'estimator__C': 1e-05, u'estimator__random_state': 324089, u'estimator__loss': 'hinge', u'estimator__fit_intercept': True}	20	22	20	0.7272727272727273	0.6666666666666666	0.75	0.5454545454545454	0.3333333333333333	0.6103896103896104	0.6818181818181818	0.6666666666666666	0.680368906455863	0.8636363636363636	0.6666666666666666	0.8425925925925926	0.6818181818181818	0.3333333333333333	0.6696296296296297	0.8095238095238095	0.6666666666666666	0.7899877899877898	0.9047619047619048	0.6666666666666666	0.8928571428571428	0.6190476190476191	0.6666666666666666	0.6287878787878788	0.8095238095238095	0.6666666666666666	0.8153846153846153	0.6666666666666666	0.6666666666666666	0.7190635451505017	0.0011220740681184623	0.0016281509217587846	0.10770720458694175	0.1344821608818694	0.08948937652014304
0.0026113510131835936	0.0021837949752807617	0.7813953488372093	0.5984496124031007	0.7804796127742794	1e-05	True	squared_hinge	324089	{u'estimator__C': 1e-05, u'estimator__random_state': 324089, u'estimator__loss': 'squared_hinge', u'estimator__fit_intercept': True}	19	22	19	0.7727272727272727	0.6666666666666666	0.7818181818181819	0.7272727272727273	0.3333333333333333	0.7230769230769231	0.7272727272727273	0.6666666666666666	0.7166666666666667	0.8636363636363636	0.6666666666666666	0.8425925925925926	0.7727272727272727	0.3333333333333333	0.7530864197530865	0.8571428571428571	0.6666666666666666	0.832010582010582	0.9523809523809523	0.6666666666666666	0.9408866995073891	0.6666666666666666	0.6666666666666666	0.6842650103519669	0.8095238095238095	0.6666666666666666	0.8153846153846153	0.6666666666666666	0.6666666666666666	0.7190635451505017	4.067379033363414e-05	3.4562019377916954e-05	0.0858578802618145	0.1344821608818694	0.07341515305365783
0.0026505231857299806	0.0021847963333129885	0.48372093023255813	0.6666666666666666	0.5043630458548739	1e-05	False	hinge	324089	{u'estimator__C': 1e-05, u'estimator__random_state': 324089, u'estimator__loss': 'hinge', u'estimator__fit_intercept': False}	40	1	40	0.45454545454545453	0.6666666666666666	0.5027777777777778	0.4090909090909091	0.6666666666666666	0.4339869281045751	0.45454545454545453	0.6666666666666666	0.47008547008547	0.5454545454545454	0.6666666666666666	0.5571428571428573	0.6363636363636364	0.6666666666666666	0.6454545454545455	0.42857142857142855	0.6666666666666666	0.4467754467754468	0.47619047619047616	0.6666666666666666	0.4888357256778309	0.6190476190476191	0.6666666666666666	0.6287878787878788	0.38095238095238093	0.6666666666666666	0.3989441930618401	0.42857142857142855	0.6666666666666666	0.4666666666666666	7.878855340299963e-05	4.970018709887375e-05	0.08329618083640693	0.0	0.07767363868129094
0.003060460090637207	0.002180957794189453	0.4744186046511628	0.6666666666666666	0.49653908838659366	1e-05	False	squared_hinge	324089	{u'estimator__C': 1e-05, u'estimator__random_state': 324089, u'estimator__loss': 'squared_hinge', u'estimator__fit_intercept': False}	42	1	42	0.4090909090909091	0.6666666666666666	0.46274509803921576	0.4090909090909091	0.6666666666666666	0.4339869281045751	0.45454545454545453	0.6666666666666666	0.47008547008547	0.5454545454545454	0.6666666666666666	0.5536130536130536	0.6363636363636364	0.6666666666666666	0.6454545454545455	0.42857142857142855	0.6666666666666666	0.4467754467754468	0.47619047619047616	0.6666666666666666	0.4888357256778309	0.5714285714285714	0.6666666666666666	0.5943223443223443	0.38095238095238093	0.6666666666666666	0.3989441930618401	0.42857142857142855	0.6666666666666666	0.4666666666666666	0.001337198806125824	3.8027905371230406e-05	0.07935469594317156	0.0	0.07341935059412914
0.0029843807220458984	0.0021715641021728517	0.8418604651162791	0.5302325581395348	0.8161408201825202	0.0001	True	hinge	324089	{u'estimator__C': 0.0001, u'estimator__random_state': 324089, u'estimator__loss': 'hinge', u'estimator__fit_intercept': True}	18	32	18	0.8636363636363636	0.3333333333333333	0.8226600985221676	0.8181818181818182	0.3333333333333333	0.7857142857142857	0.7727272727272727	0.6666666666666666	0.7555555555555555	0.8181818181818182	0.3333333333333333	0.7724867724867726	0.8636363636363636	0.3333333333333333	0.8226600985221676	0.9047619047619048	0.6666666666666666	0.8809523809523809	0.9523809523809523	0.6666666666666666	0.9408866995073891	0.7619047619047619	0.6666666666666666	0.7388888888888888	0.8571428571428571	0.6666666666666666	0.832010582010582	0.8095238095238095	0.6666666666666666	0.8153846153846153	0.001279799567398238	4.313898096825764e-05	0.05504308427050012	0.16390170897863576	0.05667303316918283
0.0030797481536865234	0.0021738290786743166	0.9395348837209302	0.6294573643410852	0.915572927851558	0.0001	True	squared_hinge	324089	{u'estimator__C': 0.0001, u'estimator__random_state': 324089, u'estimator__loss': 'squared_hinge', u'estimator__fit_intercept': True}	2	14	1	0.9545454545454546	0.6666666666666666	0.9225806451612902	0.8636363636363636	0.0	0.8090117767537123	0.8636363636363636	0.6666666666666666	0.8425925925925926	0.9090909090909091	0.3333333333333333	0.8648809523809525	0.9545454545454546	0.6666666666666666	0.9225806451612902	1.0	1.0	1.0	1.0	1.0	1.0	0.9523809523809523	0.6666666666666666	0.9408866995073891	0.9047619047619048	0.3333333333333333	0.8634920634920634	1.0	1.0	1.0	0.001412454168416368	3.1797397058743354e-05	0.050253210813833944	0.3144421500900603	0.06630309240762855
