mean_fit_time	mean_score_time	mean_test_accuracy	mean_test_balanced_accuracy	mean_test_primary	param_estimator__C	param_estimator__fit_intercept	param_estimator__loss	param_estimator__random_state	params	rank_test_accuracy	rank_test_balanced_accuracy	rank_test_primary	split0_test_accuracy	split0_test_balanced_accuracy	split0_test_primary	split1_test_accuracy	split1_test_balanced_accuracy	split1_test_primary	split2_test_accuracy	split2_test_balanced_accuracy	split2_test_primary	split3_test_accuracy	split3_test_balanced_accuracy	split3_test_primary	split4_test_accuracy	split4_test_balanced_accuracy	split4_test_primary	split5_test_accuracy	split5_test_balanced_accuracy	split5_test_primary	split6_test_accuracy	split6_test_balanced_accuracy	split6_test_primary	split7_test_accuracy	split7_test_balanced_accuracy	split7_test_primary	split8_test_accuracy	split8_test_balanced_accuracy	split8_test_primary	split9_test_accuracy	split9_test_balanced_accuracy	split9_test_primary	std_fit_time	std_score_time	std_test_accuracy	std_test_balanced_accuracy	std_test_primary
0.13410887718200684	0.005007266998291016	0.5905	0.12	0.5578460792801321	1e-06	True	hinge	324089	{u'estimator__C': 1e-06, u'estimator__random_state': 324089, u'estimator__loss': 'hinge', u'estimator__fit_intercept': True}	43	41	43	0.66	0.2	0.6281708470001104	0.61	0.1	0.5787634843442857	0.59	0.2	0.5603624704686397	0.53	0.1	0.5009729129738755	0.6	0.1	0.5672358476560156	0.615	0.1	0.5855707720795161	0.565	0.1	0.5212238243979844	0.575	0.1	0.5526849270238954	0.58	0.1	0.5473928669277506	0.58	0.1	0.5360828399292478	0.009634842375588232	0.0032462465228581664	0.032668792447839275	0.04000000000000001	0.033810592543706434
0.14334731101989745	0.005127573013305664	0.6715	0.11	0.637733810489819	1e-06	True	squared_hinge	324089	{u'estimator__C': 1e-06, u'estimator__random_state': 324089, u'estimator__loss': 'squared_hinge', u'estimator__fit_intercept': True}	41	43	41	0.725	0.2	0.6961909264887989	0.685	0.1	0.6501646840975677	0.675	0.2	0.6404465907200783	0.61	0.0	0.5762099083609109	0.71	0.1	0.6807782697667919	0.69	0.1	0.6611458412172979	0.62	0.1	0.5749753950495731	0.675	0.1	0.6533770121432164	0.665	0.1	0.6239924844706289	0.66	0.1	0.6200569925833267	0.016147297019160813	0.0034363612870219147	0.03391533576422323	0.053851648071345036	0.038013000138309085
0.15112581253051757	0.004948472976684571	0.5905	0.12	0.5577532992531415	1e-06	False	hinge	324089	{u'estimator__C': 1e-06, u'estimator__random_state': 324089, u'estimator__loss': 'hinge', u'estimator__fit_intercept': False}	43	41	44	0.66	0.2	0.6272430467302048	0.61	0.1	0.5787634843442857	0.59	0.2	0.5603624704686397	0.53	0.1	0.5009729129738755	0.6	0.1	0.5672358476560156	0.615	0.1	0.5855707720795161	0.565	0.1	0.5212238243979844	0.575	0.1	0.5526849270238954	0.58	0.1	0.5473928669277506	0.58	0.1	0.5360828399292478	0.02376622105204984	0.0027550022691783544	0.032668792447839275	0.04000000000000001	0.03361821193435016
0.15011811256408691	0.004178476333618164	0.671	0.11	0.6371922551860326	1e-06	False	squared_hinge	324089	{u'estimator__C': 1e-06, u'estimator__random_state': 324089, u'estimator__loss': 'squared_hinge', u'estimator__fit_intercept': False}	42	43	42	0.725	0.2	0.6961909264887989	0.685	0.1	0.6501646840975677	0.675	0.2	0.6409885673919364	0.61	0.0	0.5762099083609109	0.71	0.1	0.6807782697667919	0.69	0.1	0.6611458412172979	0.62	0.1	0.5749753950495731	0.675	0.1	0.6533770121432164	0.665	0.1	0.6239924844706289	0.655	0.1	0.6140994628736053	0.012905089762393285	0.000281253229303683	0.03411744421846396	0.053851648071345036	0.0383357479847977
0.1346909999847412	0.004216504096984863	0.8015	0.13	0.7924040653496731	1e-05	True	hinge	324089	{u'estimator__C': 1e-05, u'estimator__random_state': 324089, u'estimator__loss': 'hinge', u'estimator__fit_intercept': True}	39	39	39	0.84	0.1	0.8327296903725211	0.835	0.1	0.8350519038229592	0.825	0.2	0.8198396224514231	0.775	0.1	0.7656134884938737	0.83	0.3	0.8186628011101227	0.795	0.1	0.7789042925422054	0.745	0.0	0.7310676213614503	0.81	0.1	0.8070816733571748	0.77	0.2	0.7539671596782374	0.79	0.1	0.7811224003067643	0.004689455879644234	0.00010029043168440165	0.03017034968309116	0.07810249675906654	0.0337186406205004
0.14435029029846191	0.004244685173034668	0.8515	0.2	0.8467793618795254	1e-05	True	squared_hinge	324089	{u'estimator__C': 1e-05, u'estimator__random_state': 324089, u'estimator__loss': 'squared_hinge', u'estimator__fit_intercept': True}	37	37	37	0.865	0.1	0.8619788271819797	0.885	0.2	0.8831419122882537	0.88	0.4	0.8757525417662517	0.835	0.1	0.8324378851123038	0.87	0.4	0.8624262440160729	0.82	0.0	0.8142689506323778	0.815	0.1	0.8101275384507092	0.845	0.2	0.8429736783363028	0.835	0.3	0.8244141879308385	0.865	0.2	0.8602718530801644	0.005378317277598862	0.000201793976928575	0.02356374333589638	0.1264911064067352	0.02437256941485134
0.1425227165222168	0.0042098045349121095	0.797	0.13	0.7865789331925551	1e-05	False	hinge	324089	{u'estimator__C': 1e-05, u'estimator__random_state': 324089, u'estimator__loss': 'hinge', u'estimator__fit_intercept': False}	40	39	40	0.83	0.1	0.8185057308398205	0.84	0.1	0.8406931726221227	0.825	0.2	0.8198396224514231	0.775	0.1	0.7656134884938737	0.82	0.3	0.8049719575272343	0.785	0.1	0.7699422228658499	0.74	0.0	0.7247731906109054	0.81	0.1	0.8070816733571748	0.765	0.2	0.746229965655329	0.78	0.1	0.7681383075018191	0.006169256036635762	0.0001229083641594516	0.030999999999999982	0.07810249675906654	0.03509556402256882
0.14844882488250732	0.004315519332885742	0.85	0.2	0.8448633923521757	1e-05	False	squared_hinge	324089	{u'estimator__C': 1e-05, u'estimator__random_state': 324089, u'estimator__loss': 'squared_hinge', u'estimator__fit_intercept': False}	38	37	38	0.865	0.1	0.8619788271819797	0.885	0.2	0.8831419122882537	0.875	0.4	0.8694312644772324	0.835	0.1	0.8324378851123038	0.87	0.4	0.8624262440160729	0.82	0.0	0.8142689506323778	0.81	0.1	0.8037895700300327	0.845	0.2	0.8429736783363028	0.835	0.3	0.8244141879308385	0.86	0.2	0.8537714035163628	0.005708130586002606	8.041093477746744e-05	0.023558437978779496	0.1264911064067352	0.024390126926945418
0.13516850471496583	0.004407525062561035	0.8975	0.25	0.8963261684763405	0.0001	True	hinge	324089	{u'estimator__C': 0.0001, u'estimator__random_state': 324089, u'estimator__loss': 'hinge', u'estimator__fit_intercept': True}	35	35	35	0.9	0.3	0.8987109848585504	0.905	0.2	0.9052881579881011	0.93	0.4	0.9296421241158083	0.88	0.2	0.8784783921567811	0.915	0.5	0.9120254632908532	0.89	0.0	0.8900104863466474	0.86	0.3	0.8564755109117993	0.89	0.1	0.8906242422705837	0.89	0.2	0.8880685892235392	0.915	0.3	0.9139377336007412	0.007303355676304817	0.00022730135747096826	0.01900657780874823	0.13601470508735444	0.019493070654403335
0.13966701030731202	0.004713606834411621	0.9455	0.39	0.9451601723815803	0.0001	True	squared_hinge	324089	{u'estimator__C': 0.0001, u'estimator__random_state': 324089, u'estimator__loss': 'squared_hinge', u'estimator__fit_intercept': True}	19	32	20	0.945	0.4	0.944498158128334	0.955	0.5	0.9545215664535306	0.96	0.5	0.9599046478493891	0.93	0.2	0.9299659027322701	0.925	0.3	0.9239594834240623	0.95	0.5	0.9492824303799914	0.925	0.3	0.9243573832405667	0.935	0.3	0.9349518775642011	0.965	0.5	0.9649436207780239	0.965	0.4	0.9652166532654338	0.007191824693296657	0.0017206720754403219	0.015074813431681301	0.10440306508910549	0.015275516839507048
