mean_fit_time	mean_score_time	mean_test_accuracy	mean_test_balanced_accuracy	mean_test_primary	param_estimator__criterion	param_estimator__max_features	param_estimator__min_impurity_decrease	param_estimator__n_estimators	param_estimator__random_state	params	rank_test_accuracy	rank_test_balanced_accuracy	rank_test_primary	split0_test_accuracy	split0_test_balanced_accuracy	split0_test_primary	split1_test_accuracy	split1_test_balanced_accuracy	split1_test_primary	split2_test_accuracy	split2_test_balanced_accuracy	split2_test_primary	split3_test_accuracy	split3_test_balanced_accuracy	split3_test_primary	split4_test_accuracy	split4_test_balanced_accuracy	split4_test_primary	split5_test_accuracy	split5_test_balanced_accuracy	split5_test_primary	split6_test_accuracy	split6_test_balanced_accuracy	split6_test_primary	split7_test_accuracy	split7_test_balanced_accuracy	split7_test_primary	split8_test_accuracy	split8_test_balanced_accuracy	split8_test_primary	split9_test_accuracy	split9_test_balanced_accuracy	split9_test_primary	std_fit_time	std_score_time	std_test_accuracy	std_test_balanced_accuracy	std_test_primary
0.035870695114135744	0.007146310806274414	0.8515463917525773	0.5823949246629658	0.8166441583618477	gini	0.1	0.0	10	324089	{u'estimator__min_impurity_decrease': 0.0, u'estimator__n_estimators': 10, u'estimator__random_state': 324089, u'estimator__criterion': 'gini', u'estimator__max_features': 0.1}	1052	1057	1051	0.8461538461538461	0.5384615384615384	0.8353733985312932	0.8846153846153846	0.6153846153846154	0.85359477124183	0.8076923076923077	0.46153846153846156	0.8345543345543346	0.9038461538461539	0.6153846153846154	0.8855850032320622	0.84	0.46153846153846156	0.8082417582417583	0.8367346938775511	0.6923076923076923	0.7757781434252023	0.875	0.6153846153846154	0.8522230660239709	0.8	0.5384615384615384	0.6704751131221719	0.8863636363636364	0.6923076923076923	0.8415891800507185	0.8292682926829268	0.6153846153846154	0.7869658119658118	0.0026386844919255776	0.0015266436761395196	0.0332962182147037	0.07878754528863398	0.05605822241090248
0.1695384979248047	0.021574974060058594	0.9443298969072165	0.8104678826328311	0.9300939085171955	gini	0.1	0.0	50	324089	{u'estimator__min_impurity_decrease': 0.0, u'estimator__n_estimators': 50, u'estimator__random_state': 324089, u'estimator__criterion': 'gini', u'estimator__max_features': 0.1}	963	973	960	0.9230769230769231	0.6923076923076923	0.9081402257872846	0.9230769230769231	0.7692307692307693	0.90989010989011	0.9807692307692307	0.9230769230769231	0.9869281045751634	0.8846153846153846	0.5384615384615384	0.8529886779886782	0.96	0.8461538461538461	0.942857142857143	0.9387755102040817	0.8461538461538461	0.936965811965812	0.9791666666666666	0.9230769230769231	0.9736263736263737	0.8888888888888888	0.6923076923076923	0.8394688644688645	1.0	1.0	1.0	0.975609756097561	0.9230769230769231	0.958974358974359	0.009664032760614895	0.0014830718123616192	0.037671474498905136	0.13458393454758785	0.05063775154494419
0.33881542682647703	0.044201445579528806	0.954639175257732	0.8420301348136401	0.9373488710602113	gini	0.1	0.0	100	324089	{u'estimator__min_impurity_decrease': 0.0, u'estimator__n_estimators': 100, u'estimator__random_state': 324089, u'estimator__criterion': 'gini', u'estimator__max_features': 0.1}	942	948	943	0.9423076923076923	0.7692307692307693	0.9451437451437451	0.9230769230769231	0.7692307692307693	0.9095238095238096	0.9423076923076923	0.7692307692307693	0.9390109890109891	0.9423076923076923	0.7692307692307693	0.9164835164835167	0.98	0.9230769230769231	0.9692307692307692	0.9387755102040817	0.8461538461538461	0.8940170940170942	0.9791666666666666	0.9230769230769231	0.9736263736263737	0.9333333333333333	0.7692307692307693	0.8747863247863248	1.0	1.0	1.0	0.975609756097561	0.9230769230769231	0.958974358974359	0.013130224367259958	0.006041031511799739	0.023936426936103837	0.08314314228506442	0.03633222535838278
1.7693764686584472	0.21322243213653563	0.9670103092783505	0.882791435368755	0.9508947726352214	gini	0.1	0.0	500	324089	{u'estimator__min_impurity_decrease': 0.0, u'estimator__n_estimators': 500, u'estimator__random_state': 324089, u'estimator__criterion': 'gini', u'estimator__max_features': 0.1}	895	899	909	0.9423076923076923	0.7692307692307693	0.9235248411719	0.9807692307692307	0.9230769230769231	0.982905982905983	0.9615384615384616	0.8461538461538461	0.9653846153846154	0.9615384615384616	0.8461538461538461	0.9394383394383394	0.98	0.9230769230769231	0.9692307692307692	0.9387755102040817	0.8461538461538461	0.8940170940170942	1.0	1.0	1.0	0.9555555555555556	0.8461538461538461	0.8952991452991453	0.9772727272727273	0.9230769230769231	0.9800904977375565	0.975609756097561	0.9230769230769231	0.958974358974359	0.05597029652920737	0.022901187850265854	0.01804911223871672	0.06257818335293004	0.0345911391124204
0.03385448455810547	0.006450104713439942	0.843298969072165	0.5459159397303728	0.7994400555738062	gini	0.1	0.00025	10	324089	{u'estimator__min_impurity_decrease': 0.00025, u'estimator__n_estimators': 10, u'estimator__random_state': 324089, u'estimator__criterion': 'gini', u'estimator__max_features': 0.1}	1055	1072	1058	0.8653846153846154	0.5384615384615384	0.8519436445907034	0.8461538461538461	0.5384615384615384	0.8407846539425486	0.9038461538461539	0.6923076923076923	0.9004740357681535	0.8076923076923077	0.3076923076923077	0.7755193636772584	0.82	0.6153846153846154	0.7187423687423687	0.7959183673469388	0.5384615384615384	0.7063381063381063	0.875	0.6153846153846154	0.8845906230521616	0.8444444444444444	0.6153846153846154	0.7459491488903254	0.8181818181818182	0.46153846153846156	0.7525641025641026	0.8536585365853658	0.5384615384615384	0.8016178266178267	0.0007512735660376032	0.0001048629338304818	0.032106272530373015	0.10233922113050675	0.06606459297470209
0.18631789684295655	0.024495363235473633	0.9484536082474226	0.835368754956384	0.9319612406998702	gini	0.1	0.00025	50	324089	{u'estimator__min_impurity_decrease': 0.00025, u'estimator__n_estimators': 50, u'estimator__random_state': 324089, u'estimator__criterion': 'gini', u'estimator__max_features': 0.1}	954	957	955	0.9615384615384616	0.8461538461538461	0.9577128753599341	0.9230769230769231	0.7692307692307693	0.9183760683760684	0.9615384615384616	0.8461538461538461	0.9565323565323567	0.9230769230769231	0.6923076923076923	0.9050033300033301	0.96	0.8461538461538461	0.9479853479853481	0.8979591836734694	0.8461538461538461	0.8611506140917905	0.9791666666666666	0.9230769230769231	0.9633699633699634	0.9333333333333333	0.7692307692307693	0.8747863247863248	0.9772727272727273	0.9230769230769231	0.9800904977375565	0.975609756097561	0.9230769230769231	0.958974358974359	0.02606084312142809	0.004888209107193809	0.0264273330471233	0.07230094113466305	0.03793900413316507
0.3485517740249634	0.04501607418060303	0.9463917525773196	0.8283901665344965	0.9339212340789054	gini	0.1	0.00025	100	324089	{u'estimator__min_impurity_decrease': 0.00025, u'estimator__n_estimators': 100, u'estimator__random_state': 324089, u'estimator__criterion': 'gini', u'estimator__max_features': 0.1}	960	963	951	0.9615384615384616	0.8461538461538461	0.9577128753599341	0.9230769230769231	0.7692307692307693	0.9095238095238096	0.9423076923076923	0.8461538461538461	0.950603318250377	0.9423076923076923	0.7692307692307693	0.9164835164835167	0.98	0.9230769230769231	0.9692307692307692	0.8775510204081632	0.6923076923076923	0.8882101558572147	0.9583333333333334	0.8461538461538461	0.9369963369963371	0.9333333333333333	0.7692307692307693	0.8747863247863248	0.9772727272727273	0.9230769230769231	0.9800904977375565	0.975609756097561	0.9230769230769231	0.958974358974359	0.034428216861302346	0.007437346867150288	0.029500988111831855	0.0744352725705377	0.033142421540757076
1.6667696475982665	0.20501213073730468	0.9628865979381444	0.8669310071371928	0.944772426549261	gini	0.1	0.00025	500	324089	{u'estimator__min_impurity_decrease': 0.00025, u'estimator__n_estimators': 500, u'estimator__random_state': 324089, u'estimator__criterion': 'gini', u'estimator__max_features': 0.1}	911	922	921	0.9615384615384616	0.8461538461538461	0.9459024635495223	0.9423076923076923	0.7692307692307693	0.9366228542699132	0.9615384615384616	0.8461538461538461	0.9565323565323567	0.9615384615384616	0.8461538461538461	0.9394383394383394	0.98	0.9230769230769231	0.9692307692307692	0.9387755102040817	0.8461538461538461	0.8940170940170942	0.9791666666666666	0.9230769230769231	0.9736263736263737	0.9555555555555556	0.8461538461538461	0.8952991452991453	0.9772727272727273	0.9230769230769231	0.9800904977375565	0.975609756097561	0.9230769230769231	0.958974358974359	0.038727029935789886	0.008178513068536312	0.014092340902352776	0.0493496402475459	0.02804961747528025
0.03333687782287598	0.006484723091125489	0.8309278350515464	0.5478191911181601	0.8059747470511079	gini	0.1	0.0005	10	324089	{u'estimator__min_impurity_decrease': 0.0005, u'estimator__n_estimators': 10, u'estimator__random_state': 324089, u'estimator__criterion': 'gini', u'estimator__max_features': 0.1}	1062	1068	1054	0.8269230769230769	0.5384615384615384	0.827584670231729	0.8846153846153846	0.6923076923076923	0.8838249469828418	0.8076923076923077	0.46153846153846156	0.7911123963755544	0.8846153846153846	0.5384615384615384	0.8726800976800978	0.88	0.6923076923076923	0.8530120206590796	0.7959183673469388	0.46153846153846156	0.765499533146592	0.7708333333333334	0.46153846153846156	0.7658119658119656	0.8444444444444444	0.6153846153846154	0.7709024635495224	0.8181818181818182	0.5384615384615384	0.7681481665644561	0.7804878048780488	0.46153846153846156	0.7311965811965813	0.0009290871506417619	0.00029472811494516056	0.04066865986063897	0.08807523004044261	0.049704314170923664
0.1621319055557251	0.021742486953735353	0.9402061855670103	0.8066613798572562	0.9281936568042368	gini	0.1	0.0005	50	324089	{u'estimator__min_impurity_decrease': 0.0005, u'estimator__n_estimators': 50, u'estimator__random_state': 324089, u'estimator__criterion': 'gini', u'estimator__max_features': 0.1}	980	976	963	0.9230769230769231	0.6923076923076923	0.9041181041181041	0.9038461538461539	0.6923076923076923	0.8920024420024422	0.9615384615384616	0.9230769230769231	0.9676973353443942	0.9230769230769231	0.6923076923076923	0.9050033300033301	0.98	0.9230769230769231	0.9692307692307692	0.9183673469387755	0.7692307692307693	0.9170563097033686	0.9791666666666666	0.9230769230769231	0.9736263736263737	0.9555555555555556	0.8461538461538461	0.8952991452991453	0.9772727272727273	0.9230769230769231	0.9800904977375565	0.8780487804878049	0.6923076923076923	0.8744247205785668	0.007270491165526185	0.0012294848577860359	0.0329883612488983	0.10497087561024947	0.03751162384659211
