mean_fit_time	mean_score_time	mean_test_accuracy	mean_test_balanced_accuracy	mean_test_primary	param_estimator__n_neighbors	param_estimator__weights	params	rank_test_accuracy	rank_test_balanced_accuracy	rank_test_primary	split0_test_accuracy	split0_test_balanced_accuracy	split0_test_primary	split1_test_accuracy	split1_test_balanced_accuracy	split1_test_primary	split2_test_accuracy	split2_test_balanced_accuracy	split2_test_primary	split3_test_accuracy	split3_test_balanced_accuracy	split3_test_primary	split4_test_accuracy	split4_test_balanced_accuracy	split4_test_primary	split5_test_accuracy	split5_test_balanced_accuracy	split5_test_primary	split6_test_accuracy	split6_test_balanced_accuracy	split6_test_primary	split7_test_accuracy	split7_test_balanced_accuracy	split7_test_primary	split8_test_accuracy	split8_test_balanced_accuracy	split8_test_primary	split9_test_accuracy	split9_test_balanced_accuracy	split9_test_primary	std_fit_time	std_score_time	std_test_accuracy	std_test_balanced_accuracy	std_test_primary
0.012733936309814453	0.0149092435836792	0.6427392739273927	0.0	0.6420252608506873	1	uniform	{u'estimator__n_neighbors': 1, u'estimator__weights': 'uniform'}	1	1	1	0.6885245901639344	0.0	0.6881894000538069	0.6721311475409836	0.0	0.6720430107526881	0.6859504132231405	0.0	0.6848958333333334	0.6776859504132231	0.0	0.6768914755220815	0.5619834710743802	0.0	0.5618637698982032	0.5867768595041323	0.0	0.5844780219780219	0.6611570247933884	0.0	0.6610644257703081	0.5867768595041323	0.0	0.5867486338797814	0.7272727272727273	0.0	0.7253971528780689	0.5785123966942148	0.0	0.578051282051282	0.0058988729917843815	0.002520024077511393	0.05515263360951976	0.0	0.05500896479775245
0.011254119873046874	0.01342928409576416	0.6427392739273927	0.0	0.6420252608506873	1	distance	{u'estimator__n_neighbors': 1, u'estimator__weights': 'distance'}	1	1	1	0.6885245901639344	0.0	0.6881894000538069	0.6721311475409836	0.0	0.6720430107526881	0.6859504132231405	0.0	0.6848958333333334	0.6776859504132231	0.0	0.6768914755220815	0.5619834710743802	0.0	0.5618637698982032	0.5867768595041323	0.0	0.5844780219780219	0.6611570247933884	0.0	0.6610644257703081	0.5867768595041323	0.0	0.5867486338797814	0.7272727272727273	0.0	0.7253971528780689	0.5785123966942148	0.0	0.578051282051282	0.002378289809344719	0.0002832955782379009	0.05515263360951976	0.0	0.05500896479775245
0.010532879829406738	0.014743375778198241	0.5874587458745875	0.0	0.5677915927462407	2	uniform	{u'estimator__n_neighbors': 2, u'estimator__weights': 'uniform'}	9	1	28	0.5901639344262295	0.0	0.5763888888888888	0.639344262295082	0.0	0.6293841480254074	0.5785123966942148	0.0	0.5666736886454603	0.6033057851239669	0.0	0.5825186889016677	0.5785123966942148	0.0	0.558109559613319	0.5454545454545454	0.0	0.5156829925041846	0.6115702479338843	0.0	0.5982905982905984	0.5867768595041323	0.0	0.573943661971831	0.6115702479338843	0.0	0.5782721542454579	0.5289256198347108	0.0	0.4980714649588822	0.00029992216614706664	0.002647669141900036	0.030774918995264206	0.0	0.035838875840898905
0.013046526908874511	0.01635167598724365	0.6427392739273927	0.0	0.6420252608506873	2	distance	{u'estimator__n_neighbors': 2, u'estimator__weights': 'distance'}	1	1	1	0.6885245901639344	0.0	0.6881894000538069	0.6721311475409836	0.0	0.6720430107526881	0.6859504132231405	0.0	0.6848958333333334	0.6776859504132231	0.0	0.6768914755220815	0.5619834710743802	0.0	0.5618637698982032	0.5867768595041323	0.0	0.5844780219780219	0.6611570247933884	0.0	0.6610644257703081	0.5867768595041323	0.0	0.5867486338797814	0.7272727272727273	0.0	0.7253971528780689	0.5785123966942148	0.0	0.578051282051282	0.004378441506658354	0.005523471842543998	0.05515263360951976	0.0	0.05500896479775245
0.011043334007263183	0.014057016372680664	0.5825082508250825	0.0	0.58175892625175	3	uniform	{u'estimator__n_neighbors': 3, u'estimator__weights': 'uniform'}	11	1	10	0.639344262295082	0.0	0.6377867746288799	0.6721311475409836	0.0	0.6707152496626181	0.5371900826446281	0.0	0.5363984674329503	0.5867768595041323	0.0	0.5865226899945326	0.5371900826446281	0.0	0.5356359649122807	0.49586776859504134	0.0	0.4953162393162393	0.5454545454545454	0.0	0.5453303272528524	0.5950413223140496	0.0	0.5950413223140496	0.6198347107438017	0.0	0.61960087479497	0.5950413223140496	0.0	0.5940431359123588	0.0024343480318163753	0.0003343712614564053	0.05101501977573177	0.0	0.050859849892384866
0.011300921440124512	0.013761377334594727	0.5981848184818482	0.0	0.5972999246293559	3	distance	{u'estimator__n_neighbors': 3, u'estimator__weights': 'distance'}	6	1	6	0.6475409836065574	0.0	0.6456123758697562	0.6885245901639344	0.0	0.6877693965517241	0.5785123966942148	0.0	0.5766618645811896	0.6033057851239669	0.0	0.6032786885245902	0.5619834710743802	0.0	0.5600603690745696	0.512396694214876	0.0	0.5122634419621507	0.5454545454545454	0.0	0.5449572649572649	0.6115702479338843	0.0	0.6114640978342556	0.6363636363636364	0.0	0.6357416529830322	0.5950413223140496	0.0	0.5940431359123588	0.0035087902231927728	0.0003166472899964187	0.049148228265730905	0.0	0.04906564207743134
0.010235977172851563	0.015118575096130371	0.5618811881188119	0.0	0.5510498604762987	4	uniform	{u'estimator__n_neighbors': 4, u'estimator__weights': 'uniform'}	32	1	36	0.6475409836065574	0.0	0.6421311139914045	0.6147540983606558	0.0	0.6103295956506967	0.512396694214876	0.0	0.5057805469020422	0.5785123966942148	0.0	0.5689739470559474	0.5289256198347108	0.0	0.5205422314911365	0.5206611570247934	0.0	0.49144927536231886	0.5537190082644629	0.0	0.5424369747899159	0.5537190082644629	0.0	0.5447324414715718	0.5454545454545454	0.0	0.5268396729470317	0.5619834710743802	0.0	0.5560401523018346	0.00045010060703703424	0.0035759267466147896	0.04012958059614655	0.0	0.044106672175469167
0.012728095054626465	0.01618812084197998	0.6179867986798679	0.0	0.6173776723566635	4	distance	{u'estimator__n_neighbors': 4, u'estimator__weights': 'distance'}	4	1	4	0.6639344262295082	0.0	0.6633690019516791	0.6885245901639344	0.0	0.6881894000538069	0.5867768595041323	0.0	0.5853892543859649	0.628099173553719	0.0	0.628099173553719	0.5619834710743802	0.0	0.5615042735042735	0.5289256198347108	0.0	0.5287968846075015	0.628099173553719	0.0	0.628099173553719	0.5867768595041323	0.0	0.5867486338797814	0.6859504132231405	0.0	0.6848958333333334	0.6198347107438017	0.0	0.6177197802197802	0.0037889751102376957	0.0023451002001666898	0.04994744451350479	0.0	0.04986565346449277
0.01022787094116211	0.014245295524597168	0.5717821782178217	0.0	0.5708256578093537	5	uniform	{u'estimator__n_neighbors': 5, u'estimator__weights': 'uniform'}	24	1	23	0.680327868852459	0.0	0.6792719919110213	0.6147540983606558	0.0	0.6115965589649801	0.5537190082644629	0.0	0.552220394736842	0.5537190082644629	0.0	0.552220394736842	0.5206611570247934	0.0	0.5198412698412698	0.5041322314049587	0.0	0.503827227993439	0.5289256198347108	0.0	0.5289256198347108	0.5702479338842975	0.0	0.5702185792349727	0.628099173553719	0.0	0.6279975404796065	0.5619834710743802	0.0	0.5609038000684696	0.000301844470991087	0.0002652182344528261	0.05162018109852995	0.0	0.051374837017403856
0.011320400238037109	0.01553969383239746	0.6006600660066007	0.0	0.5999264272176822	5	distance	{u'estimator__n_neighbors': 5, u'estimator__weights': 'distance'}	5	1	5	0.6967213114754098	0.0	0.6957195820694304	0.6639344262295082	0.0	0.6628244017526121	0.5785123966942148	0.0	0.5756137817206519	0.5867768595041323	0.0	0.5860700602079914	0.5454545454545454	0.0	0.5443341321465252	0.5289256198347108	0.0	0.5287968846075015	0.5785123966942148	0.0	0.5783972125435539	0.5950413223140496	0.0	0.5949306551889049	0.6528925619834711	0.0	0.6528688524590164	0.5785123966942148	0.0	0.5783972125435539	0.003693321380152648	0.0037962528104692247	0.05090727633886281	0.0	0.05087840475340406
