mean_fit_time	mean_score_time	mean_test_accuracy	mean_test_balanced_accuracy	mean_test_primary	param_estimator__n_neighbors	param_estimator__weights	params	rank_test_accuracy	rank_test_balanced_accuracy	rank_test_primary	split0_test_accuracy	split0_test_balanced_accuracy	split0_test_primary	split1_test_accuracy	split1_test_balanced_accuracy	split1_test_primary	split2_test_accuracy	split2_test_balanced_accuracy	split2_test_primary	split3_test_accuracy	split3_test_balanced_accuracy	split3_test_primary	split4_test_accuracy	split4_test_balanced_accuracy	split4_test_primary	split5_test_accuracy	split5_test_balanced_accuracy	split5_test_primary	split6_test_accuracy	split6_test_balanced_accuracy	split6_test_primary	split7_test_accuracy	split7_test_balanced_accuracy	split7_test_primary	split8_test_accuracy	split8_test_balanced_accuracy	split8_test_primary	split9_test_accuracy	split9_test_balanced_accuracy	split9_test_primary	std_fit_time	std_score_time	std_test_accuracy	std_test_balanced_accuracy	std_test_primary
0.004043030738830567	0.027726054191589355	0.55	0.0	0.5474462247015371	1	uniform	{u'estimator__n_neighbors': 1, u'estimator__weights': 'uniform'}	45	1	44	0.56875	0.0	0.5625817187685724	0.60625	0.0	0.6061115235825094	0.55	0.0	0.548235294117647	0.54375	0.0	0.5428750342452351	0.50625	0.0	0.5018719211822661	0.51875	0.0	0.5187312004375171	0.575	0.0	0.5744015021123455	0.54375	0.0	0.5437321770381656	0.54375	0.0	0.5435895431987808	0.54375	0.0	0.5323323323323323	0.0002637879374782484	0.004377045735655603	0.026809513236909003	0.0	0.02752721110288734
0.004018163681030274	0.03229146003723145	0.55	0.0	0.5474462247015371	1	distance	{u'estimator__n_neighbors': 1, u'estimator__weights': 'distance'}	45	1	44	0.56875	0.0	0.5625817187685724	0.60625	0.0	0.6061115235825094	0.55	0.0	0.548235294117647	0.54375	0.0	0.5428750342452351	0.50625	0.0	0.5018719211822661	0.51875	0.0	0.5187312004375171	0.575	0.0	0.5744015021123455	0.54375	0.0	0.5437321770381656	0.54375	0.0	0.5435895431987808	0.54375	0.0	0.5323323323323323	0.00034071615273628794	0.009086437576675519	0.026809513236909003	0.0	0.02752721110288734
0.0040038108825683595	0.0321843147277832	0.549375	0.0	0.5319703727255578	2	uniform	{u'estimator__n_neighbors': 2, u'estimator__weights': 'uniform'}	47	1	54	0.575	0.0	0.5707070707070707	0.575	0.0	0.5495943036926645	0.49375	0.0	0.47655398037077423	0.6	0.0	0.5854251012145748	0.54375	0.0	0.538540555489708	0.50625	0.0	0.48143589743589743	0.54375	0.0	0.5282523526798335	0.5	0.0	0.4666666666666667	0.58125	0.0	0.5518207282913166	0.575	0.0	0.5707070707070707	0.00022164881179311351	0.0041086224328997015	0.036060929341879135	0.0	0.04063174354090434
0.004032802581787109	0.030727696418762208	0.545625	0.0	0.5398412017284354	2	distance	{u'estimator__n_neighbors': 2, u'estimator__weights': 'distance'}	52	1	49	0.58125	0.0	0.5812336419391382	0.59375	0.0	0.5835835835835835	0.49375	0.0	0.48796965746118287	0.6	0.0	0.5936507936507935	0.5125	0.0	0.5118134877171022	0.49375	0.0	0.48796965746118287	0.56875	0.0	0.5611908263444493	0.5	0.0	0.4935907580313341	0.55625	0.0	0.5411769457570985	0.55625	0.0	0.5562326653384897	0.00020191226770374654	0.005357801022741346	0.03982873491588705	0.0	0.0394391221082092
0.004032254219055176	0.0297529935836792	0.5425	0.0	0.538280706616722	3	uniform	{u'estimator__n_neighbors': 3, u'estimator__weights': 'uniform'}	54	1	53	0.5625	0.0	0.5540691192865106	0.56875	0.0	0.5685983353522723	0.53125	0.0	0.5281349534033267	0.54375	0.0	0.541583264649319	0.51875	0.0	0.5103144004133711	0.5	0.0	0.4999218627910611	0.5375	0.0	0.5328282828282828	0.5625	0.0	0.5622263914946841	0.59375	0.0	0.5933528836754642	0.50625	0.0	0.49177757227292823	0.0002923464905262041	0.005746752181708909	0.028201285431696192	0.0	0.030552253445752273
0.005159902572631836	0.03546252250671387	0.54375	0.0	0.5396442861018784	3	distance	{u'estimator__n_neighbors': 3, u'estimator__weights': 'distance'}	53	1	50	0.56875	0.0	0.5611908263444493	0.5625	0.0	0.5624316299421784	0.53125	0.0	0.5281349534033267	0.54375	0.0	0.541583264649319	0.51875	0.0	0.5103144004133711	0.50625	0.0	0.5062307121371928	0.5375	0.0	0.5328282828282828	0.56875	0.0	0.5685983353522723	0.59375	0.0	0.5933528836754642	0.50625	0.0	0.49177757227292823	0.0036360635631478722	0.009849209930044595	0.027810744326608735	0.0	0.030260668444389155
0.004028487205505371	0.03304722309112549	0.550625	0.0	0.5410169009647018	4	uniform	{u'estimator__n_neighbors': 4, u'estimator__weights': 'uniform'}	44	1	48	0.6	0.0	0.5984313725490196	0.5875	0.0	0.5763119884448724	0.55	0.0	0.5396419437340153	0.575	0.0	0.5707070707070707	0.475	0.0	0.4729411764705883	0.525	0.0	0.5025364097529046	0.55625	0.0	0.5533010892218159	0.53125	0.0	0.5129672470473639	0.5875	0.0	0.56550362080316	0.51875	0.0	0.5178270909162068	0.0003623841002902933	0.0073118922466957025	0.03681138580656805	0.0	0.0368994105753831
0.004028725624084473	0.03504469394683838	0.548125	0.0	0.5462355642250374	4	distance	{u'estimator__n_neighbors': 4, u'estimator__weights': 'distance'}	49	1	46	0.60625	0.0	0.6050001959324425	0.59375	0.0	0.5918207150987087	0.54375	0.0	0.5428750342452351	0.56875	0.0	0.5683284457478006	0.475	0.0	0.474671669793621	0.50625	0.0	0.5029688175848375	0.5375	0.0	0.5372107567229518	0.56875	0.0	0.566701989874014	0.5625	0.0	0.5555555555555556	0.51875	0.0	0.5172224616952075	0.00026972153917096466	0.006687708617573787	0.038227321708432564	0.0	0.03801713157607586
0.0037566423416137695	0.02943596839904785	0.549375	0.0	0.5457272428216904	5	uniform	{u'estimator__n_neighbors': 5, u'estimator__weights': 'uniform'}	47	1	47	0.575	0.0	0.5668100015926103	0.58125	0.0	0.5812336419391382	0.525	0.0	0.5223130106851037	0.625	0.0	0.6235294117647059	0.46875	0.0	0.4611513926859226	0.5	0.0	0.4999218627910611	0.55625	0.0	0.5523152709359606	0.525	0.0	0.5247029393370857	0.5875	0.0	0.5875	0.55	0.0	0.5377948964853154	0.00023789370100560744	0.0049701130872397475	0.04361138756104878	0.0	0.04455458105798708
0.003866696357727051	0.03185946941375732	0.553125	0.0	0.5495831874683981	5	distance	{u'estimator__n_neighbors': 5, u'estimator__weights': 'distance'}	42	1	42	0.58125	0.0	0.5739099328272188	0.575	0.0	0.575	0.53125	0.0	0.5290239020369716	0.625	0.0	0.6235294117647059	0.475	0.0	0.4666666666666666	0.50625	0.0	0.5062307121371928	0.55	0.0	0.5465281058101086	0.5375	0.0	0.5372107567229518	0.6	0.0	0.5999374902328489	0.55	0.0	0.5377948964853154	0.0002485934960503575	0.006540332903582539	0.04204257514710535	0.0	0.04326667299555449
