mean_fit_time	mean_score_time	mean_test_accuracy	mean_test_balanced_accuracy	mean_test_primary	param_estimator__alpha	param_estimator__fit_prior	params	rank_test_accuracy	rank_test_balanced_accuracy	rank_test_primary	split0_test_accuracy	split0_test_balanced_accuracy	split0_test_primary	split1_test_accuracy	split1_test_balanced_accuracy	split1_test_primary	split2_test_accuracy	split2_test_balanced_accuracy	split2_test_primary	split3_test_accuracy	split3_test_balanced_accuracy	split3_test_primary	split4_test_accuracy	split4_test_balanced_accuracy	split4_test_primary	split5_test_accuracy	split5_test_balanced_accuracy	split5_test_primary	split6_test_accuracy	split6_test_balanced_accuracy	split6_test_primary	split7_test_accuracy	split7_test_balanced_accuracy	split7_test_primary	split8_test_accuracy	split8_test_balanced_accuracy	split8_test_primary	split9_test_accuracy	split9_test_balanced_accuracy	split9_test_primary	std_fit_time	std_score_time	std_test_accuracy	std_test_balanced_accuracy	std_test_primary
0.07089240550994873	0.058278560638427734	0.7859655172413793	0.14285714285714282	0.125736791412461	0.0	True	{u'estimator__alpha': 0.0, u'estimator__fit_prior': True}	2	9	11	0.7856281233844563	0.14285714285714285	0.12570656519701104	0.7857635298173044	0.14285714285714285	0.12571869786424364	0.7857635298173044	0.14285714285714285	0.12571869786424364	0.7860344827586206	0.14285714285714285	0.12574297022602846	0.7860344827586206	0.14285714285714285	0.12574297022602846	0.7860344827586206	0.14285714285714285	0.12574297022602846	0.7859975857906536	0.14285714285714285	0.12573966537469483	0.7861331493618489	0.14285714285714285	0.1257518070959554	0.7861331493618489	0.14285714285714285	0.1257518070959554	0.7861331493618489	0.14285714285714285	0.1257518070959554	0.016625912631817587	0.049159050106199774	0.00017178152607127213	2.7755575615628914e-17	1.538845628595483e-05
0.04114556312561035	0.035439133644104004	0.697051724137931	0.25713054187192114	0.4218681828233599	0.0	False	{u'estimator__alpha': 0.0, u'estimator__fit_prior': False}	14	4	2	0.6980871962777874	0.0	0.38687178302052666	0.7007928300586005	0.42857142857142855	0.47966275032885	0.7016546018614271	0.2857142857142857	0.5097978984195197	0.6967241379310345	0.14285714285714285	0.3914439459060448	0.695	0.14285714285714285	0.36194247803183976	0.6946551724137932	0.42857142857142855	0.48481137617001613	0.6983962752198655	0.14285714285714285	0.36701870578456514	0.7047257675060365	0.2857142857142857	0.3899365167679521	0.6866160745084512	0.42857142857142855	0.48263121021826	0.6938599517074854	0.2857142857142857	0.36451372306177005	0.014104825469016277	0.01050439928211915	0.004754522687169863	0.1399821537446218	0.05637917556048936
0.04629497528076172	0.034479498863220215	0.7859655172413793	0.14285714285714282	0.125736791412461	0.1	True	{u'estimator__alpha': 0.1, u'estimator__fit_prior': True}	2	9	11	0.7856281233844563	0.14285714285714285	0.12570656519701104	0.7857635298173044	0.14285714285714285	0.12571869786424364	0.7857635298173044	0.14285714285714285	0.12571869786424364	0.7860344827586206	0.14285714285714285	0.12574297022602846	0.7860344827586206	0.14285714285714285	0.12574297022602846	0.7860344827586206	0.14285714285714285	0.12574297022602846	0.7859975857906536	0.14285714285714285	0.12573966537469483	0.7861331493618489	0.14285714285714285	0.1257518070959554	0.7861331493618489	0.14285714285714285	0.1257518070959554	0.7861331493618489	0.14285714285714285	0.1257518070959554	0.01844537315762433	0.012257251022169137	0.00017178152607127213	2.7755575615628914e-17	1.538845628595483e-05
0.03507206439971924	0.02807302474975586	0.6963448275862069	0.25713054187192114	0.42125303235824696	0.1	False	{u'estimator__alpha': 0.1, u'estimator__fit_prior': False}	15	4	3	0.6980871962777874	0.0	0.38701339214546937	0.7002757669769045	0.42857142857142855	0.4791067688416029	0.7004481213374698	0.2857142857142857	0.5084569195020062	0.6963793103448276	0.14285714285714285	0.39132855159176566	0.6936206896551724	0.14285714285714285	0.36056621879502276	0.6944827586206896	0.42857142857142855	0.48464500649948344	0.6978789446456286	0.14285714285714285	0.36668318448229076	0.7042083477061055	0.2857142857142857	0.38963954477437807	0.6864436012418075	0.42857142857142855	0.48268805341304527	0.6916177992411177	0.2857142857142857	0.3623509374516533	0.004054208956530605	0.005693667022918258	0.00480345272021796	0.1399821537446218	0.05651801340737546
0.06463158130645752	0.035986137390136716	0.7859655172413793	0.14285714285714282	0.125736791412461	0.25	True	{u'estimator__alpha': 0.25, u'estimator__fit_prior': True}	2	9	11	0.7856281233844563	0.14285714285714285	0.12570656519701104	0.7857635298173044	0.14285714285714285	0.12571869786424364	0.7857635298173044	0.14285714285714285	0.12571869786424364	0.7860344827586206	0.14285714285714285	0.12574297022602846	0.7860344827586206	0.14285714285714285	0.12574297022602846	0.7860344827586206	0.14285714285714285	0.12574297022602846	0.7859975857906536	0.14285714285714285	0.12573966537469483	0.7861331493618489	0.14285714285714285	0.1257518070959554	0.7861331493618489	0.14285714285714285	0.1257518070959554	0.7861331493618489	0.14285714285714285	0.1257518070959554	0.011498363887204257	0.006440251507923636	0.00017178152607127213	2.7755575615628914e-17	1.538845628595483e-05
0.06996457576751709	0.03268125057220459	0.6953448275862069	0.25713054187192114	0.4154169744473236	0.25	False	{u'estimator__alpha': 0.25, u'estimator__fit_prior': False}	16	4	5	0.696708599000517	0.0	0.3619324424511244	0.6999310582557738	0.42857142857142855	0.4599723694851257	0.6990692864529473	0.2857142857142857	0.5069106206848525	0.6937931034482758	0.14285714285714285	0.38882678586708297	0.6931034482758621	0.14285714285714285	0.36012108365818063	0.6941379310344827	0.42857142857142855	0.4776202840574238	0.696671839972409	0.14285714285714285	0.36552173478353406	0.7042083477061055	0.2857142857142857	0.38963954477437807	0.6840289755087962	0.42857142857142855	0.48020181762001984	0.6917902725077613	0.2857142857142857	0.3633907201591339	0.005453671068666658	0.0032962785563612675	0.005163299526382884	0.1399821537446218	0.055597320717725496
0.06986939907073975	0.03350682258605957	0.7859655172413793	0.14285714285714282	0.125736791412461	0.5	True	{u'estimator__alpha': 0.5, u'estimator__fit_prior': True}	2	9	11	0.7856281233844563	0.14285714285714285	0.12570656519701104	0.7857635298173044	0.14285714285714285	0.12571869786424364	0.7857635298173044	0.14285714285714285	0.12571869786424364	0.7860344827586206	0.14285714285714285	0.12574297022602846	0.7860344827586206	0.14285714285714285	0.12574297022602846	0.7860344827586206	0.14285714285714285	0.12574297022602846	0.7859975857906536	0.14285714285714285	0.12573966537469483	0.7861331493618489	0.14285714285714285	0.1257518070959554	0.7861331493618489	0.14285714285714285	0.1257518070959554	0.7861331493618489	0.14285714285714285	0.1257518070959554	0.004557188900333057	0.003251147239343181	0.00017178152607127213	2.7755575615628914e-17	1.538845628595483e-05
0.07029058933258056	0.036935067176818846	0.6930344827586207	0.27141133004926105	0.4220463702654626	0.5	False	{u'estimator__alpha': 0.5, u'estimator__fit_prior': False}	17	1	1	0.6937790797863175	0.0	0.35871542805749457	0.69786280592899	0.42857142857142855	0.44331864576769536	0.6983798690106859	0.2857142857142857	0.5060928271057555	0.6929310344827586	0.14285714285714285	0.3880580303321941	0.6927586206896552	0.14285714285714285	0.3457976168418125	0.6898275862068965	0.42857142857142855	0.4731921662723093	0.6949474047249525	0.14285714285714285	0.3636738259078553	0.6992066229734392	0.42857142857142855	0.5034381773718328	0.6810969299758537	0.42857142857142855	0.47702735925885903	0.6895481200413935	0.2857142857142857	0.36116203258958135	0.008133649154053926	0.006315136111215216	0.005090941243218386	0.14915619945223876	0.06154133798697045
0.06903924942016601	0.03039860725402832	0.7859655172413793	0.14285714285714282	0.125736791412461	0.75	True	{u'estimator__alpha': 0.75, u'estimator__fit_prior': True}	2	9	11	0.7856281233844563	0.14285714285714285	0.12570656519701104	0.7857635298173044	0.14285714285714285	0.12571869786424364	0.7857635298173044	0.14285714285714285	0.12571869786424364	0.7860344827586206	0.14285714285714285	0.12574297022602846	0.7860344827586206	0.14285714285714285	0.12574297022602846	0.7860344827586206	0.14285714285714285	0.12574297022602846	0.7859975857906536	0.14285714285714285	0.12573966537469483	0.7861331493618489	0.14285714285714285	0.1257518070959554	0.7861331493618489	0.14285714285714285	0.1257518070959554	0.7861331493618489	0.14285714285714285	0.1257518070959554	0.00536377906193979	0.0035419770526664727	0.00017178152607127213	2.7755575615628914e-17	1.538845628595483e-05
0.06539328098297119	0.035568523406982425	0.6906896551724138	0.27141133004926105	0.4195171444511501	0.75	False	{u'estimator__alpha': 0.75, u'estimator__fit_prior': False}	18	1	4	0.6915388592107531	0.0	0.3563064126291346	0.6951051361599448	0.42857142857142855	0.4402405478123078	0.6945880730782489	0.2857142857142857	0.5017621289952017	0.6915517241379311	0.14285714285714285	0.38691699693770926	0.6898275862068965	0.14285714285714285	0.34267027848899867	0.6868965517241379	0.42857142857142855	0.47010407290462813	0.6933954130022417	0.14285714285714285	0.36210247265746354	0.6969644705070714	0.42857142857142855	0.5005670935297621	0.6790272507761297	0.42857142857142855	0.4748899601024735	0.6879958606416006	0.2857142857142857	0.35962516016222584	0.004044241069489753	0.004530367958739123	0.00491121140037656	0.14915619945223876	0.06102024097851093
