mean_fit_time	mean_score_time	mean_test_accuracy	mean_test_balanced_accuracy	mean_test_primary	param_estimator__alpha	param_estimator__fit_prior	params	rank_test_accuracy	rank_test_balanced_accuracy	rank_test_primary	split0_test_accuracy	split0_test_balanced_accuracy	split0_test_primary	split1_test_accuracy	split1_test_balanced_accuracy	split1_test_primary	split2_test_accuracy	split2_test_balanced_accuracy	split2_test_primary	split3_test_accuracy	split3_test_balanced_accuracy	split3_test_primary	split4_test_accuracy	split4_test_balanced_accuracy	split4_test_primary	split5_test_accuracy	split5_test_balanced_accuracy	split5_test_primary	split6_test_accuracy	split6_test_balanced_accuracy	split6_test_primary	split7_test_accuracy	split7_test_balanced_accuracy	split7_test_primary	split8_test_accuracy	split8_test_balanced_accuracy	split8_test_primary	split9_test_accuracy	split9_test_balanced_accuracy	split9_test_primary	std_fit_time	std_score_time	std_test_accuracy	std_test_balanced_accuracy	std_test_primary
0.0019869089126586916	0.0024610042572021486	0.63125	0.1	0.5911223990857858	0.0	True	{u'estimator__alpha': 0.0, u'estimator__fit_prior': True}	7	5	4	0.8125	0.5	0.7922077922077921	0.5	0.0	0.4666666666666667	0.625	0.0	0.6190476190476191	0.75	0.0	0.746031746031746	0.5625	0.0	0.5465587044534412	0.625	0.0	0.5636363636363637	0.625	0.0	0.5636363636363637	0.75	0.5	0.709090909090909	0.4375	0.0	0.30434782608695654	0.625	0.0	0.6000000000000001	0.00017955911021011095	0.00026411034376110743	0.10986497394529342	0.20000000000000004	0.13432543034674121
0.0019889116287231446	0.002356410026550293	0.58125	0.05	0.5728074144637613	0.0	False	{u'estimator__alpha': 0.0, u'estimator__fit_prior': False}	11	11	10	0.5	0.0	0.5	0.6875	0.5	0.6761133603238866	0.5625	0.0	0.5607843137254902	0.625	0.0	0.6250000000000001	0.5625	0.0	0.5607843137254902	0.5625	0.0	0.5607843137254902	0.625	0.0	0.6000000000000001	0.6875	0.0	0.6862745098039216	0.375	0.0	0.3333333333333333	0.625	0.0	0.6250000000000001	0.00025560209607527193	0.0001320898423937861	0.0886090429922364	0.15000000000000002	0.09634152211860554
0.001963686943054199	0.003281116485595703	0.63125	0.1	0.5911223990857858	0.1	True	{u'estimator__alpha': 0.1, u'estimator__fit_prior': True}	7	5	4	0.8125	0.5	0.7922077922077921	0.5	0.0	0.4666666666666667	0.625	0.0	0.6190476190476191	0.75	0.0	0.746031746031746	0.5625	0.0	0.5465587044534412	0.625	0.0	0.5636363636363637	0.625	0.0	0.5636363636363637	0.75	0.5	0.709090909090909	0.4375	0.0	0.30434782608695654	0.625	0.0	0.6000000000000001	0.00018384858580786117	0.0028058034644107385	0.10986497394529342	0.20000000000000004	0.13432543034674121
0.0019398927688598633	0.002372145652770996	0.58125	0.05	0.5728074144637613	0.1	False	{u'estimator__alpha': 0.1, u'estimator__fit_prior': False}	11	11	10	0.5	0.0	0.5	0.6875	0.5	0.6761133603238866	0.5625	0.0	0.5607843137254902	0.625	0.0	0.6250000000000001	0.5625	0.0	0.5607843137254902	0.5625	0.0	0.5607843137254902	0.625	0.0	0.6000000000000001	0.6875	0.0	0.6862745098039216	0.375	0.0	0.3333333333333333	0.625	0.0	0.6250000000000001	0.0001128896866227045	0.00016361537309607832	0.0886090429922364	0.15000000000000002	0.09634152211860554
0.0019439697265625	0.002432703971862793	0.63125	0.1	0.5911223990857858	0.25	True	{u'estimator__alpha': 0.25, u'estimator__fit_prior': True}	7	5	4	0.8125	0.5	0.7922077922077921	0.5	0.0	0.4666666666666667	0.625	0.0	0.6190476190476191	0.75	0.0	0.746031746031746	0.5625	0.0	0.5465587044534412	0.625	0.0	0.5636363636363637	0.625	0.0	0.5636363636363637	0.75	0.5	0.709090909090909	0.4375	0.0	0.30434782608695654	0.625	0.0	0.6000000000000001	0.00017945306362053665	0.00029818708206734516	0.10986497394529342	0.20000000000000004	0.13432543034674121
0.0030924320220947266	0.0026644468307495117	0.58125	0.05	0.5728074144637613	0.25	False	{u'estimator__alpha': 0.25, u'estimator__fit_prior': False}	11	11	10	0.5	0.0	0.5	0.6875	0.5	0.6761133603238866	0.5625	0.0	0.5607843137254902	0.625	0.0	0.6250000000000001	0.5625	0.0	0.5607843137254902	0.5625	0.0	0.5607843137254902	0.625	0.0	0.6000000000000001	0.6875	0.0	0.6862745098039216	0.375	0.0	0.3333333333333333	0.625	0.0	0.6250000000000001	0.002675571951266507	0.0005191744123522224	0.0886090429922364	0.15000000000000002	0.09634152211860554
0.0020157575607299806	0.002538180351257324	0.63125	0.1	0.5911223990857858	0.5	True	{u'estimator__alpha': 0.5, u'estimator__fit_prior': True}	7	5	4	0.8125	0.5	0.7922077922077921	0.5	0.0	0.4666666666666667	0.625	0.0	0.6190476190476191	0.75	0.0	0.746031746031746	0.5625	0.0	0.5465587044534412	0.625	0.0	0.5636363636363637	0.625	0.0	0.5636363636363637	0.75	0.5	0.709090909090909	0.4375	0.0	0.30434782608695654	0.625	0.0	0.6000000000000001	0.0002730723019482357	0.00037704098532192305	0.10986497394529342	0.20000000000000004	0.13432543034674121
0.0029072999954223634	0.002361607551574707	0.575	0.0	0.5671008403361345	0.5	False	{u'estimator__alpha': 0.5, u'estimator__fit_prior': False}	14	14	13	0.5	0.0	0.5	0.625	0.0	0.619047619047619	0.5625	0.0	0.5607843137254902	0.625	0.0	0.6250000000000001	0.5625	0.0	0.5607843137254902	0.5625	0.0	0.5607843137254902	0.625	0.0	0.6000000000000001	0.6875	0.0	0.6862745098039216	0.375	0.0	0.3333333333333333	0.625	0.0	0.6250000000000001	0.002940671810486824	0.0001456314488280635	0.082915619758885	0.0	0.0916282036430151
0.0019079685211181641	0.0023716211318969725	0.6375	0.1	0.5940209498104234	0.75	True	{u'estimator__alpha': 0.75, u'estimator__fit_prior': True}	3	5	1	0.8125	0.5	0.7922077922077921	0.5	0.0	0.4666666666666667	0.625	0.0	0.6190476190476191	0.75	0.0	0.746031746031746	0.5625	0.0	0.5465587044534412	0.625	0.0	0.5636363636363637	0.625	0.0	0.5636363636363637	0.75	0.5	0.709090909090909	0.5	0.0	0.33333333333333337	0.625	0.0	0.6000000000000001	0.000155363220161863	0.00013893684108504917	0.1	0.20000000000000004	0.12828279039614032
0.0027083635330200197	0.0023878335952758787	0.575	0.0	0.5671008403361345	0.75	False	{u'estimator__alpha': 0.75, u'estimator__fit_prior': False}	14	14	13	0.5	0.0	0.5	0.625	0.0	0.619047619047619	0.5625	0.0	0.5607843137254902	0.625	0.0	0.6250000000000001	0.5625	0.0	0.5607843137254902	0.5625	0.0	0.5607843137254902	0.625	0.0	0.6000000000000001	0.6875	0.0	0.6862745098039216	0.375	0.0	0.3333333333333333	0.625	0.0	0.6250000000000001	0.0023604874520306847	0.0001262758992857716	0.082915619758885	0.0	0.0916282036430151
0.0018893241882324218	0.0023772716522216797	0.6375	0.1	0.5940209498104234	1.0	True	{u'estimator__alpha': 1.0, u'estimator__fit_prior': True}	3	5	1	0.8125	0.5	0.7922077922077921	0.5	0.0	0.4666666666666667	0.625	0.0	0.6190476190476191	0.75	0.0	0.746031746031746	0.5625	0.0	0.5465587044534412	0.625	0.0	0.5636363636363637	0.625	0.0	0.5636363636363637	0.75	0.5	0.709090909090909	0.5	0.0	0.33333333333333337	0.625	0.0	0.6000000000000001	0.00014258328859261834	0.00015502077951275053	0.1	0.20000000000000004	0.12828279039614032
0.0017837047576904296	0.0022991180419921877	0.575	0.0	0.5671008403361345	1.0	False	{u'estimator__alpha': 1.0, u'estimator__fit_prior': False}	14	14	13	0.5	0.0	0.5	0.625	0.0	0.619047619047619	0.5625	0.0	0.5607843137254902	0.625	0.0	0.6250000000000001	0.5625	0.0	0.5607843137254902	0.5625	0.0	0.5607843137254902	0.625	0.0	0.6000000000000001	0.6875	0.0	0.6862745098039216	0.375	0.0	0.3333333333333333	0.625	0.0	0.6250000000000001	0.00015196270569882452	0.00014694918243513723	0.082915619758885	0.0	0.0916282036430151
0.0028227090835571287	0.00246732234954834	0.64375	0.15	0.5930252788147525	5.0	True	{u'estimator__alpha': 5.0, u'estimator__fit_prior': True}	1	4	3	0.8125	0.5	0.7922077922077921	0.5	0.0	0.4666666666666667	0.625	0.0	0.6190476190476191	0.75	0.0	0.746031746031746	0.5625	0.0	0.5465587044534412	0.625	0.5	0.49999999999999994	0.625	0.0	0.5636363636363637	0.75	0.5	0.709090909090909	0.5	0.0	0.33333333333333337	0.6875	0.0	0.6536796536796536	0.0026501860313953847	0.00023212754268701435	0.10097184013377196	0.22912878474779197	0.13266309107787166
0.001870441436767578	0.002432084083557129	0.5625	0.0	0.5538071895424836	5.0	False	{u'estimator__alpha': 5.0, u'estimator__fit_prior': False}	17	14	16	0.5	0.0	0.5	0.625	0.0	0.619047619047619	0.5625	0.0	0.5607843137254902	0.625	0.0	0.6250000000000001	0.5625	0.0	0.5607843137254902	0.5625	0.0	0.5607843137254902	0.625	0.0	0.6000000000000001	0.6875	0.0	0.6862745098039216	0.375	0.0	0.3333333333333333	0.5	0.0	0.4920634920634921	0.00011702495141520292	0.0002711181241108133	0.08385254915624211	0.0	0.09190666812600225
0.0026571273803710936	0.0042087316513061525	0.6375	0.2	0.5837735694257433	10.0	True	{u'estimator__alpha': 10.0, u'estimator__fit_prior': True}	3	3	9	0.8125	0.5	0.7922077922077921	0.5	0.0	0.4666666666666667	0.5625	0.0	0.5465587044534412	0.6875	0.0	0.6761133603238865	0.5625	0.0	0.5465587044534412	0.625	0.5	0.49999999999999994	0.6875	0.5	0.6135265700483092	0.75	0.5	0.709090909090909	0.5	0.0	0.33333333333333337	0.6875	0.0	0.6536796536796536	0.002369723856417523	0.005309465980520111	0.1	0.24494897427831783	0.12636069060604818
0.0018800020217895508	0.0023531198501586916	0.5625	0.0	0.5538071895424836	10.0	False	{u'estimator__alpha': 10.0, u'estimator__fit_prior': False}	17	14	16	0.5	0.0	0.5	0.625	0.0	0.619047619047619	0.5625	0.0	0.5607843137254902	0.625	0.0	0.6250000000000001	0.5625	0.0	0.5607843137254902	0.5625	0.0	0.5607843137254902	0.625	0.0	0.6000000000000001	0.6875	0.0	0.6862745098039216	0.375	0.0	0.3333333333333333	0.5	0.0	0.4920634920634921	7.528525241857882e-05	7.78320400207912e-05	0.08385254915624211	0.0	0.09190666812600225
0.0026274681091308593	0.0023580074310302736	0.64375	0.25	0.5893146949668688	25.0	True	{u'estimator__alpha': 25.0, u'estimator__fit_prior': True}	1	2	8	0.8125	0.5	0.7922077922077921	0.5	0.0	0.4666666666666667	0.5625	0.0	0.5465587044534412	0.6875	0.0	0.6761133603238865	0.5625	0.0	0.5465587044534412	0.625	0.5	0.49999999999999994	0.6875	0.5	0.6135265700483092	0.75	0.5	0.709090909090909	0.5	0.0	0.33333333333333337	0.75	0.5	0.709090909090909	0.002258791215826286	0.00018013443692970117	0.10476909133900131	0.25	0.13045335395718616
